question,correct_answers,question_type
How many electrons does an Oxygen atom have if its charge is -3?,11,short_answer
What is the charge of a Helium atom with 3 electrons?,-1;- 1;1-;1 -,short_answer
An atom of Hydrogen has a charge of 0. How many electrons are in the atom?,1,short_answer
How many electrons does a Helium atom have if its charge is +1?,1,short_answer
An atom of Aluminum has a charge of -2. How many electrons are in the atom?,15,short_answer
What is the charge of a Copper atom with 30 electrons?,-1;- 1;1-;1 -,short_answer
An atom of Chlorine has 20 electrons. What is its charge?,-3;- 3;3-;3 -,short_answer
An atom of Hydrogen has a charge of -3. How many electrons are in the atom?,4,short_answer
An atom of Boron has a charge of -2. How many electrons are in the atom?,7,short_answer
What is the charge of a Cobalt atom with 24 electrons?,+3;+ 3;3+;3 +;3,short_answer
An atom of Nitrogen has 6 electrons. What is its charge?,+1;+ 1;1+;1 +;1,short_answer
An atom of Calcium has a charge of -1. How many electrons are in the atom?,21,short_answer
How many electrons does a Hafnium atom have if its charge is -2?,74,short_answer
An atom of Scandium has 18 electrons. What is its charge?,+3;+ 3;3+;3 +;3,short_answer
How many electrons does an Oxygen atom have if its charge is +1?,7,short_answer
What is the charge of a Phosphorus atom with 12 electrons?,+3;+ 3;3+;3 +;3,short_answer
What is the charge of a Lithium atom with 6 electrons?,-3;- 3;3-;3 -,short_answer
How many electrons does a Vanadium atom have if its charge is -2?,25,short_answer
An atom of Oxygen has 5 electrons. What is its charge?,+3;+ 3;3+;3 +;3,short_answer
An atom of Helium has 2 electrons. What is its charge?,0,short_answer
How many electrons does a Hydrogen atom have if its charge is 0?,1,short_answer
An atom of Radon has a charge of +1. How many electrons are in the atom?,85,short_answer
An atom of Chromium has 27 electrons. What is its charge?,-3;- 3;3-;3 -,short_answer
An atom of Carbon has a charge of -2. How many electrons are in the atom?,8,short_answer
What is the charge of a Carbon atom with 8 electrons?,-2;- 2;2-;2 -,short_answer
An atom of Nitrogen has a charge of +2. How many electrons are in the atom?,5,short_answer
An atom of Argon has a charge of -3. How many electrons are in the atom?,21,short_answer
An atom of Phosphorus has 16 electrons. What is its charge?,-1;- 1;1-;1 -,short_answer
An atom of Nitrogen has a charge of -3. How many electrons are in the atom?,10,short_answer
An atom of Vanadium has 26 electrons. What is its charge?,-3;- 3;3-;3 -,short_answer
What is the charge of an Oxygen atom with 11 electrons?,-3;- 3;3-;3 -,short_answer
An atom of Lithium has 4 electrons. What is its charge?,-1;- 1;1-;1 -,short_answer
An atom of Calcium has 23 electrons. What is its charge?,-3;- 3;3-;3 -,short_answer
How many electrons does an Oxygen atom have if its charge is -2?,10,short_answer
An atom of Calcium has a charge of -2. How many electrons are in the atom?,22,short_answer
An atom of Carbon has 6 electrons. What is its charge?,0,short_answer
An atom of Scandium has a charge of -2. How many electrons are in the atom?,23,short_answer
How many electrons does a Lithium atom have if its charge is +1?,2,short_answer
An atom of Lithium has a charge of -3. How many electrons are in the atom?,6,short_answer
An atom of Oxygen has a charge of +2. How many electrons are in the atom?,6,short_answer
What is the charge of a Hydrogen atom with 4 electrons?,-3;- 3;3-;3 -,short_answer
What is the charge of a Cobalt atom with 27 electrons?,0,short_answer
An atom of Chromium has 26 electrons. What is its charge?,-2;- 2;2-;2 -,short_answer
How many electrons does a Neon atom have if its charge is -3?,13,short_answer
An atom of Neon has 9 electrons. What is its charge?,+1;+ 1;1+;1 +;1,short_answer
What is the charge of a Vanadium atom with 26 electrons?,-3;- 3;3-;3 -,short_answer
An atom of Hydrogen has 2 electrons. What is its charge?,-1;- 1;1-;1 -,short_answer
What is the charge of an Aluminum atom with 11 electrons?,+2;+ 2;2+;2 +;2,short_answer
An atom of Phosphorus has 17 electrons. What is its charge?,-2;- 2;2-;2 -,short_answer
How many electrons does a Cobalt atom have if its charge is 0?,27,short_answer
How many electrons does a Nickel atom have if its charge is +3?,25,short_answer
How many electrons does a Potassium atom have if its charge is -3?,22,short_answer
An atom of Neon has a charge of +2. How many electrons are in the atom?,8,short_answer
An atom of Sodium has a charge of +1. How many electrons are in the atom?,10,short_answer
An atom of Boron has a charge of 0. How many electrons are in the atom?,5,short_answer
An atom of Manganese has a charge of -2. How many electrons are in the atom?,27,short_answer
What is the charge of a Sodium atom with 9 electrons?,+2;+ 2;2+;2 +;2,short_answer
An atom of Cobalt has a charge of -1. How many electrons are in the atom?,28,short_answer
What is the charge of a Carbon atom with 9 electrons?,-3;- 3;3-;3 -,short_answer
An atom of Potassium has 21 electrons. What is its charge?,-2;- 2;2-;2 -,short_answer
An atom of Iron has a charge of -1. How many electrons are in the atom?,27,short_answer
An atom of Helium has 5 electrons. What is its charge?,-3;- 3;3-;3 -,short_answer
What is the charge of a Zinc atom with 28 electrons?,+2;+ 2;2+;2 +;2,short_answer
An atom of Titanium has a charge of -2. How many electrons are in the atom?,24,short_answer
How many electrons does a Potassium atom have if its charge is +2?,17,short_answer
An atom of Chlorine has 18 electrons. What is its charge?,-1;- 1;1-;1 -,short_answer
An atom of Boron has a charge of +2. How many electrons are in the atom?,3,short_answer
An atom of Boron has a charge of 0. How many electrons are in the atom?,5,short_answer
What is the charge of a Silicon atom with 15 electrons?,-1;- 1;1-;1 -,short_answer
An atom of Potassium has 20 electrons. What is its charge?,-1;- 1;1-;1 -,short_answer
How many electrons does an Argon atom have if its charge is -1?,19,short_answer
How many electrons does a Carbon atom have if its charge is 0?,6,short_answer
An atom of Potassium has a charge of +2. How many electrons are in the atom?,17,short_answer
What is the charge of a Silicon atom with 13 electrons?,+1;+ 1;1+;1 +;1,short_answer
An atom of Nickel has a charge of -2. How many electrons are in the atom?,30,short_answer
What is the charge of a Niobium atom with 41 electrons?,0,short_answer
An atom of Germanium has a charge of -1. How many electrons are in the atom?,33,short_answer
How many electrons does an Iron atom have if its charge is +3?,23,short_answer
What is the charge of a Boron atom with 4 electrons?,+1;+ 1;1+;1 +;1,short_answer
An atom of Manganese has 25 electrons. What is its charge?,0,short_answer
An atom of Platinum has a charge of -3. How many electrons are in the atom?,81,short_answer
What is the charge of a Magnesium atom with 15 electrons?,-3;- 3;3-;3 -,short_answer
An atom of Chromium has a charge of -3. How many electrons are in the atom?,27,short_answer
An atom of Scandium has a charge of -3. How many electrons are in the atom?,24,short_answer
An atom of Calcium has 19 electrons. What is its charge?,+1;+ 1;1+;1 +;1,short_answer
An atom of Silicon has 12 electrons. What is its charge?,+2;+ 2;2+;2 +;2,short_answer
An atom of Tellurium has 55 electrons. What is its charge?,-3;- 3;3-;3 -,short_answer
An atom of Manganese has a charge of +2. How many electrons are in the atom?,23,short_answer
How many electrons does a Sulfur atom have if its charge is -3?,19,short_answer
An atom of Magnesium has a charge of +3. How many electrons are in the atom?,9,short_answer
An atom of Copper has a charge of +3. How many electrons are in the atom?,26,short_answer
What is the charge of a Chlorine atom with 14 electrons?,+3;+ 3;3+;3 +;3,short_answer
An atom of Calcium has a charge of +1. How many electrons are in the atom?,19,short_answer
An atom of Nobelium has 99 electrons. What is its charge?,+3;+ 3;3+;3 +;3,short_answer
An atom of Neon has 8 electrons. What is its charge?,+2;+ 2;2+;2 +;2,short_answer
What is the charge of a Neon atom with 8 electrons?,+2;+ 2;2+;2 +;2,short_answer
How many electrons does an Iron atom have if its charge is -3?,29,short_answer
What is the charge of a Cobalt atom with 28 electrons?,-1;- 1;1-;1 -,short_answer
An atom of Sulfur has a charge of -1. How many electrons are in the atom?,17,short_answer
How many electrons does a Phosphorus atom have if its charge is +3?,12,short_answer
An atom of Nitrogen has a charge of +3. How many electrons are in the atom?,4,short_answer
What is the charge of a Scandium atom with 19 electrons?,+2;+ 2;2+;2 +;2,short_answer
How many electrons does a Copper atom have if its charge is -2?,31,short_answer
What is the charge of a Fluorine atom with 8 electrons?,+1;+ 1;1+;1 +;1,short_answer
How many electrons does a Calcium atom have if its charge is 0?,20,short_answer
An atom of Manganese has 24 electrons. What is its charge?,+1;+ 1;1+;1 +;1,short_answer
How many electrons does a Vanadium atom have if its charge is +1?,22,short_answer
What is the charge of a Beryllium atom with 3 electrons?,+1;+ 1;1+;1 +;1,short_answer
What is the charge of a Hydrogen atom with 2 electrons?,-1;- 1;1-;1 -,short_answer
What is the charge of a Fluorine atom with 7 electrons?,+2;+ 2;2+;2 +;2,short_answer
An atom of Fluorine has a charge of 0. How many electrons are in the atom?,9,short_answer
How many electrons does a Carbon atom have if its charge is -2?,8,short_answer
An atom of Vanadium has a charge of +2. How many electrons are in the atom?,21,short_answer
An atom of Hydrogen has a charge of +1. How many electrons are in the atom?,0,short_answer
How many electrons does a Phosphorus atom have if its charge is -2?,17,short_answer
An atom of Magnesium has a charge of 0. How many electrons are in the atom?,12,short_answer
What is the charge of a Magnesium atom with 11 electrons?,+1;+ 1;1+;1 +;1,short_answer
What is the charge of a Phosphorus atom with 16 electrons?,-1;- 1;1-;1 -,short_answer
