question,correct_answers,question_type
How many atoms of In are in 0.20 mol of InCl<sub>3</sub>?,1.2e23;1.2e23;1.2E23;1e23;1e23;1E23;1.20e23;1.20e23;1.20E23;1.3e23;1.3e23;1.3E23;1e23;1e23;1E23;1.30e23;1.30e23;1.30E23,short_answer
How many atoms of C are in 44.714 mol of C<sub>6</sub>H<sub>12</sub>?,1.6156e26;1.6156e26;1.6156E26;1.616e26;1.616e26;1.616E26;1.61564e26;1.61564e26;1.61564E26;1.6157e26;1.6157e26;1.6157E26;1.616e26;1.616e26;1.616E26;1.61570e26;1.61570e26;1.61570E26,short_answer
"In a 0.0013510 mol sample of P<sub>4</sub>, how many grams of P<sub>4</sub> are present?",0.16738;1.6738e-1;1.6738E-1;.16738;0.1674;1.674e-1;1.674E-1;.1674;0.167382;1.67382e-1;1.67382E-1;.167382;0.16739;1.6739e-1;1.6739E-1;.16739;0.1674;1.674e-1;1.674E-1;.1674;0.167390;1.67390e-1;1.67390E-1;.167390,short_answer
How many moles of F are in 39.407 mol of MgF<sub>2</sub>?,78.814;7.8814e1;7.8814E1;78.81;7.881e1;7.881E1;78.8140;7.88140e1;7.88140E1;78.813;7.8813e1;7.8813E1;78.81;7.881e1;7.881E1;78.8130;7.88130e1;7.88130E1,short_answer
How much CaCO<sub>3</sub> (in mol) could one isolate from 694.28 g of CaCO<sub>3</sub>?,6.9368;6.9368e0;6.9368E0;6.937;6.937e0;6.937E0;6.93683;6.93683e0;6.93683E0;6.9369;6.9369e0;6.9369E0;6.937;6.937e0;6.937E0;6.93690;6.93690e0;6.93690E0,short_answer
How many atoms of F are in 861.6 g of SF<sub>6</sub>?,2.132e25;2.132e25;2.132E25;2.13e25;2.13e25;2.13E25;2.1316e25;2.1316e25;2.1316E25;2.131e25;2.131e25;2.131E25;2.13e25;2.13e25;2.13E25;2.1310e25;2.1310e25;2.1310E25,short_answer
How much Cl (in g) could one isolate from 12 g of BeCl<sub>2</sub>?,11;1.1e1;1.1E1;11.;10;1e1;1E1;10.6;1.06e1;1.06E1;10.;1.0e1;1.0E1;10..;10;1e1;1E1;10.0;1.00e1;1.00E1,short_answer
How much C<sub>6</sub>H<sub>12</sub> (in g) could one isolate from 0.08769 mol of C<sub>6</sub>H<sub>12</sub>?,7.380;7.380e0;7.380E0;7.38;7.38e0;7.38E0;7.3802;7.3802e0;7.3802E0;7.381;7.381e0;7.381E0;7.38;7.38e0;7.38E0;7.3810;7.3810e0;7.3810E0,short_answer
How many g of IO<sub>4</sub> are in 0.00857 mol of IO<sub>4</sub>?,1.64;1.64e0;1.64E0;1.6;1.6e0;1.6E0;1.636;1.636e0;1.636E0;1.63;1.63e0;1.63E0;1.6;1.6e0;1.6E0;1.630;1.630e0;1.630E0,short_answer
How many g of PbO<sub>2</sub> are in 1.1303 mol of PbO<sub>2</sub>?,270.4;2.704e2;2.704E2;270.;2.70e2;2.70E2;270..;270.37;2.7037e2;2.7037E2;270.3;2.703e2;2.703E2;270.;2.70e2;2.70E2;270..;270.30;2.7030e2;2.7030E2,short_answer
How much MgO (in g) could one isolate from 16.06 mol of MgO?,647.3;6.473e2;6.473E2;647;6.47e2;6.47E2;647.;647.28;6.4728e2;6.4728E2;647.2;6.472e2;6.472E2;647;6.47e2;6.47E2;647.;647.20;6.4720e2;6.4720E2,short_answer
How much O (in atoms) could one isolate from 1.0 mol of KNO<sub>3</sub>?,1.8e24;1.8e24;1.8E24;2e24;2e24;2E24;1.81e24;1.81e24;1.81E24;1.9e24;1.9e24;1.9E24;2e24;2e24;2E24;1.90e24;1.90e24;1.90E24,short_answer
How many g of P are in 3.89 mol of AlP?,120.;1.20e2;1.20E2;120..;120;1.2e2;1.2E2;120.5;1.205e2;1.205E2;121;1.21e2;1.21E2;121.;120;1.2e2;1.2E2;121.0;1.210e2;1.210E2,short_answer
How many moles of Si are in 0.043 mol of SiI<sub>4</sub>?,0.043;4.3e-2;4.3E-2;.043;0.04;4e-2;4E-2;.04;0.0430;4.30e-2;4.30E-2;.0430;0.042;4.2e-2;4.2E-2;.042;0.04;4e-2;4E-2;.04;0.0420;4.20e-2;4.20E-2;.0420,short_answer
How many grams of Br are in 1.13 g of PBr<sub>3</sub>?,1.00;1.00e0;1.00E0;1.0;1.0e0;1.0E0;1.001;1.001e0;1.001E0;1.01;1.01e0;1.01E0;1.0;1.0e0;1.0E0;1.010;1.010e0;1.010E0,short_answer
"In a 0.339 mol sample of HfCl<sub>4</sub>, how many grams of HfCl<sub>4</sub> are present?",109;1.09e2;1.09E2;109.;110;1.1e2;1.1E2;108.6;1.086e2;1.086E2;108;1.08e2;1.08E2;108.;110;1.1e2;1.1E2;108.0;1.080e2;1.080E2,short_answer
How many moles of Al are in 137.5 g of AlCl<sub>3</sub>?,1.031;1.031e0;1.031E0;1.03;1.03e0;1.03E0;1.0313;1.0313e0;1.0313E0;1.032;1.032e0;1.032E0;1.03;1.03e0;1.03E0;1.0320;1.0320e0;1.0320E0,short_answer
How much Cl (in mol) could one isolate from 0.03639 g of HgCl<sub>2</sub>?,0.0002681;2.681e-4;2.681E-4;.0002681;0.000268;2.68e-4;2.68E-4;.000268;0.00026807;2.6807e-4;2.6807E-4;.00026807;0.0002680;2.680e-4;2.680E-4;.0002680;0.000268;2.68e-4;2.68E-4;.000268;0.00026800;2.6800e-4;2.6800E-4;.00026800,short_answer
How many atoms of Ba are in 0.00117 g of BaF<sub>2</sub>?,4.02e18;4.02e18;4.02E18;4.0e18;4.0e18;4.0E18;4.019e18;4.019e18;4.019E18;4.01e18;4.01e18;4.01E18;4.0e18;4.0e18;4.0E18;4.010e18;4.010e18;4.010E18,short_answer
How many g of GaCl<sub>3</sub> are in 0.31299 mol of GaCl<sub>3</sub>?,55.11;5.511e1;5.511E1;55.1;5.51e1;5.51E1;55.109;5.5109e1;5.5109E1;55.10;5.510e1;5.510E1;55.1;5.51e1;5.51E1;55.100;5.5100e1;5.5100E1,short_answer
How many atoms of P are in 3.93 g of PCl<sub>3</sub>?,1.72e22;1.72e22;1.72E22;1.7e22;1.7e22;1.7E22;1.723e22;1.723e22;1.723E22;1.73e22;1.73e22;1.73E22;1.7e22;1.7e22;1.7E22;1.730e22;1.730e22;1.730E22,short_answer
How much F (in atoms) could one isolate from 0.0057395 g of RnF<sub>2</sub>?,2.659e19;2.659e19;2.659E19;2.66e19;2.66e19;2.66E19;2.6588e19;2.6588e19;2.6588E19;2.658e19;2.658e19;2.658E19;2.66e19;2.66e19;2.66E19;2.6580e19;2.6580e19;2.6580E19,short_answer
"In a 12.438 mol sample of CaCO<sub>3</sub>, how many moles of C are present?",12.438;1.2438e1;1.2438E1;12.44;1.244e1;1.244E1;12.4380;1.24380e1;1.24380E1;12.437;1.2437e1;1.2437E1;12.44;1.244e1;1.244E1;12.4370;1.24370e1;1.24370E1,short_answer
How many atoms of F are in 0.046 mol of UF<sub>6</sub>?,1.7e23;1.7e23;1.7E23;2e23;2e23;2E23;1.66e23;1.66e23;1.66E23;1.6e23;1.6e23;1.6E23;2e23;2e23;2E23;1.60e23;1.60e23;1.60E23,short_answer
How much F (in mol) could one isolate from 0.020489 mol of XeF<sub>2</sub>?,0.040978;4.0978e-2;4.0978E-2;.040978;0.04098;4.098e-2;4.098E-2;.04098;0.0409780;4.09780e-2;4.09780E-2;.0409780;0.040977;4.0977e-2;4.0977E-2;.040977;0.04098;4.098e-2;4.098E-2;.04098;0.0409770;4.09770e-2;4.09770E-2;.0409770,short_answer
How much P (in atoms) could one isolate from 0.00306 mol of PF<sub>3</sub>?,1.84e21;1.84e21;1.84E21;1.8e21;1.8e21;1.8E21;1.843e21;1.843e21;1.843E21;1.85e21;1.85e21;1.85E21;1.9e21;1.9e21;1.9E21;1.850e21;1.850e21;1.850E21,short_answer
How much Cu (in g) could one isolate from 0.157 mol of CuCl<sub>2</sub>?,9.98;9.98e0;9.98E0;10.0;1.00e1;1.00E1;9.977;9.977e0;9.977E0;9.97;9.97e0;9.97E0;10.0;1.00e1;1.00E1;9.970;9.970e0;9.970E0,short_answer
How much S (in atoms) could one isolate from 0.0010 g of Rb<sub>2</sub>S?,3.0e18;3.0e18;3.0E18;3e18;3e18;3E18;2.97e18;2.97e18;2.97E18;2.9e18;2.9e18;2.9E18;3e18;3e18;3E18;2.90e18;2.90e18;2.90E18,short_answer
How many atoms of Cl are in 0.38 mol of ZrCl<sub>4</sub>?,9.2e23;9.2e23;9.2E23;9e23;9e23;9E23;9.15e23;9.15e23;9.15E23;9.1e23;9.1e23;9.1E23;9e23;9e23;9E23;9.10e23;9.10e23;9.10E23,short_answer
How much Cl (in mol) could one isolate from 0.03539 g of TlCl<sub>3</sub>?,0.0003417;3.417e-4;3.417E-4;.0003417;0.000342;3.42e-4;3.42E-4;.000342;0.00034168;3.4168e-4;3.4168E-4;.00034168;0.0003416;3.416e-4;3.416E-4;.0003416;0.000342;3.42e-4;3.42E-4;.000342;0.00034160;3.4160e-4;3.4160E-4;.00034160,short_answer
How many mol of Bi<sub>2</sub>O<sub>3</sub> are in 0.43 g of Bi<sub>2</sub>O<sub>3</sub>?,0.00092;9.2e-4;9.2E-4;.00092;0.0009;9e-4;9E-4;.0009;0.000923;9.23e-4;9.23E-4;.000923;0.00093;9.3e-4;9.3E-4;.00093;0.0009;9e-4;9E-4;.0009;0.000930;9.30e-4;9.30E-4;.000930,short_answer
How much H (in mol) could one isolate from 1.8 g of C<sub>6</sub>H<sub>14</sub>?,0.29;2.9e-1;2.9E-1;.29;0.3;3e-1;3E-1;.3;0.292;2.92e-1;2.92E-1;.292;0.30;3.0e-1;3.0E-1;.30;0.3;3e-1;3E-1;.3;0.300;3.00e-1;3.00E-1;.300,short_answer
How much Cu (in atoms) could one isolate from 0.3025 mol of CuCl<sub>2</sub>?,1.822e23;1.822e23;1.822E23;1.82e23;1.82e23;1.82E23;1.8217e23;1.8217e23;1.8217E23;1.821e23;1.821e23;1.821E23;1.82e23;1.82e23;1.82E23;1.8210e23;1.8210e23;1.8210E23,short_answer
"In a 0.0027309 g sample of CuSO<sub>4</sub>, how much O is present (in g)?",0.0010950;1.0950e-3;1.0950E-3;.0010950;0.001095;1.095e-3;1.095E-3;.001095;0.00109502;1.09502e-3;1.09502E-3;.00109502;0.0010951;1.0951e-3;1.0951E-3;.0010951;0.001095;1.095e-3;1.095E-3;.001095;0.00109510;1.09510e-3;1.09510E-3;.00109510,short_answer
"In a 0.245 g sample of H<sub>2</sub>CO<sub>3</sub>, how much H is present (in g)?",0.00796;7.96e-3;7.96E-3;.00796;0.0080;8.0e-3;8.0E-3;.0080;0.007963;7.963e-3;7.963E-3;.007963;0.00797;7.97e-3;7.97E-3;.00797;0.0080;8.0e-3;8.0E-3;.0080;0.007970;7.970e-3;7.970E-3;.007970,short_answer
"In a 0.7188 mol sample of Tl<sub>2</sub>O, how many grams of Tl<sub>2</sub>O are present?",305.3;3.053e2;3.053E2;305;3.05e2;3.05E2;305.;305.32;3.0532e2;3.0532E2;305.4;3.054e2;3.054E2;305;3.05e2;3.05E2;305.;305.40;3.0540e2;3.0540E2,short_answer
How much W (in g) could one isolate from 0.096 mol of WF<sub>6</sub>?,18;1.8e1;1.8E1;18.;20;2e1;2E1;17.6;1.76e1;1.76E1;17;1.7e1;1.7E1;17.;20;2e1;2E1;17.0;1.70e1;1.70E1,short_answer
