question,correct_answers,question_type
A lake has a volume of 3e4 L and a residence time of 802 h. Compound X is emitted into the lake at a rate of 4.42 g/hr. Calculate the steady-state concentration of X.,0.1;1e-1;1E-1;.1;0.12;1.2e-1;1.2E-1;.12;0.2;2e-1;2E-1;.2;0.20;2.0e-1;2.0E-1;.20,short_answer
Compound X is being emitted into a lake at a rate of 200 kg/day. Calculate the steady-state concentration of compound X (units: kg/m3) given that the lake's residence time is 637 days and its volume is 6e5 cubic meters.,0.2;2e-1;2E-1;.2;0.21;2.1e-1;2.1E-1;.21;0.3;3e-1;3E-1;.3;0.30;3.0e-1;3.0E-1;.30,short_answer
Compound X is being emitted into a lake at a rate of 7 g/hr. Calculate the steady-state concentration of compound X (units: g/L) given that the lake volume is 4e5 L and its residence time is 260 h.,0.005;5e-3;5E-3;.005;0.0046;4.6e-3;4.6E-3;.0046;0.004;4e-3;4E-3;.004;0.0040;4.0e-3;4.0E-3;.0040,short_answer
Compound X is being emitted into a lake at a rate of 300 g/hr. Calculate the steady-state concentration of compound X (units: g/L) given that the lake volume is 1.7e4 L and its residence time is 710 h.,10;1e1;1E1;13;1.3e1;1.3E1;13.;20;2e1;2E1;20.;2.0e1;2.0E1;20..,short_answer
A lake has a residence time of 520 h and a volume of 4.74e5 L. Compound X is emitted into the lake at a rate of 260 g/hr. Calculate the steady-state concentration of X.,0.29;2.9e-1;2.9E-1;.29;0.3;3e-1;3E-1;.3;0.285;2.85e-1;2.85E-1;.285;0.28;2.8e-1;2.8E-1;.28;0.3;3e-1;3E-1;.3;0.280;2.80e-1;2.80E-1;.280,short_answer
A 6.6e5 L lake has 700 g/hr of pollutant Z being emitted into it from a nearby factory. Calculate the steady-state concentration of Z in the lake (units: g/L) given that its residence time is 3.0e2 hr.,0.3;3e-1;3E-1;.3;0.32;3.2e-1;3.2E-1;.32;0.4;4e-1;4E-1;.4;0.40;4.0e-1;4.0E-1;.40,short_answer
A lake has a residence time of 830. h and a volume of 7e4 L. Compound X is emitted into the lake at a rate of 6.9 g/hr. Calculate the steady-state concentration of X.,0.08;8e-2;8E-2;.08;0.082;8.2e-2;8.2E-2;.082;0.09;9e-2;9E-2;.09;0.090;9.0e-2;9.0E-2;.090,short_answer
Compound X is being emitted into a lake at a rate of 20.5 kg/day. Calculate the steady-state concentration of compound X (units: kg/m3) given that the lake's residence time is 940 days and its volume is 2e5 cubic meters.,0.10;1.0e-1;1.0E-1;.10;0.096;9.6e-2;9.6E-2;.096;0.09;9e-2;9E-2;.09;0.090;9.0e-2;9.0E-2;.090,short_answer
Compound X is being emitted into a lake at a rate of 610 kg/day. Calculate the steady-state concentration of compound X (units: kg/m3) given that the lake's residence time is 786 days and its volume is 2.29e4 cubic meters.,21;2.1e1;2.1E1;21.;20;2e1;2E1;20.9;2.09e1;2.09E1;20.;2.0e1;2.0E1;20..;20;2e1;2E1;20.0;2.00e1;2.00E1,short_answer
A lake has a residence time of 606 h and a volume of 1e4 L. Compound X is emitted into the lake at a rate of 2.49 g/hr. Calculate the steady-state concentration of X.,0.2;2e-1;2E-1;.2;0.15;1.5e-1;1.5E-1;.15;0.1;1e-1;1E-1;.1;0.10;1.0e-1;1.0E-1;.10,short_answer
