question,correct_answers,question_type
Express 4.968 × 10<sup>2</sup> in standard notation.,496.8,short_answer
Express 8.58 × 10<sup>-1</sup> in standard notation.,0.858,short_answer
Express 1.088 × 10<sup>2</sup> in standard notation.,108.8,short_answer
Express 3042.3 in scientific notation.,3.0423e3;3.0423E3,short_answer
Express 109 in scientific notation.,1.09e2;1.09E2,short_answer
Express 3.1 × 10<sup>2</sup> in standard notation.,310,short_answer
Express 1.6 × 10<sup>0</sup> in standard notation.,1.6,short_answer
Express 4.7 in scientific notation.,4.7e0;4.7E0,short_answer
Express 1.016 × 10<sup>4</sup> in standard notation.,10160,short_answer
Express 79.3 in scientific notation.,7.93e1;7.93E1,short_answer
Express 5.159 × 10<sup>2</sup> in standard notation.,515.9,short_answer
Express 7830 in scientific notation.,7.83e3;7.83E3,short_answer
Express 18000 in scientific notation.,1.8e4;1.8E4,short_answer
Express 15 in scientific notation.,1.5e1;1.5E1,short_answer
Express 1.1728 × 10<sup>1</sup> in standard notation.,11.728,short_answer
Express 7.7 × 10<sup>-3</sup> in standard notation.,0.0077,short_answer
Express 7.394 in scientific notation.,7.394e0;7.394E0,short_answer
Express 7366.7 in scientific notation.,7.3667e3;7.3667E3,short_answer
Express 69710 in scientific notation.,6.971e4;6.971E4,short_answer
Express 4.40 × 10<sup>-3</sup> in standard notation.,0.00440,short_answer
Express 4.20e3 in scientific notation.,4.20e3;4.20e3;4.20E3,short_answer
Express 1.4119 × 10<sup>0</sup> in standard notation.,1.4119,short_answer
Express 1.9 × 10<sup>1</sup> in standard notation.,19,short_answer
Express 0.1144 in scientific notation.,1.144e-1;1.144E-1,short_answer
Express 1.5 × 10<sup>1</sup> in standard notation.,15,short_answer
Express 7.880 × 10<sup>2</sup> in standard notation.,788.0,short_answer
Express 1900 in scientific notation.,1.9e3;1.9E3,short_answer
Express 6.1 × 10<sup>-1</sup> in standard notation.,0.61,short_answer
Express 0.23 in scientific notation.,2.3e-1;2.3E-1,short_answer
Express 1.3 in scientific notation.,1.3e0;1.3E0,short_answer
Express 104.7 in scientific notation.,1.047e2;1.047E2,short_answer
Express 3.3000 × 10<sup>3</sup> in standard notation.,3300.0,short_answer
Express 1.3263 × 10<sup>4</sup> in standard notation.,13263,short_answer
Express 8.6 × 10<sup>0</sup> in standard notation.,8.6,short_answer
Express 2.528 × 10<sup>0</sup> in standard notation.,2.528,short_answer
Express 0.470 in scientific notation.,4.70e-1;4.70E-1,short_answer
Express 1.625 × 10<sup>4</sup> in standard notation.,16250,short_answer
Express 1362 in scientific notation.,1.362e3;1.362E3,short_answer
Express 0.694 in scientific notation.,6.94e-1;6.94E-1,short_answer
Express 2.14 × 10<sup>-2</sup> in standard notation.,0.0214,short_answer
Express 0.5885 in scientific notation.,5.885e-1;5.885E-1,short_answer
Express 3.183 × 10<sup>2</sup> in standard notation.,318.3,short_answer
Express 1.703 × 10<sup>1</sup> in standard notation.,17.03,short_answer
Express 0.8940 in scientific notation.,8.940e-1;8.940E-1,short_answer
Express 1.5 × 10<sup>-2</sup> in standard notation.,0.015,short_answer
Express 3300 in scientific notation.,3.3e3;3.3E3,short_answer
Express 0.0090 in scientific notation.,9.0e-3;9.0E-3,short_answer
Express 0.00339 in scientific notation.,3.39e-3;3.39E-3,short_answer
Express 0.01342 in scientific notation.,1.342e-2;1.342E-2,short_answer
Express 0.5569 in scientific notation.,5.569e-1;5.569E-1,short_answer
Express 6.843 × 10<sup>1</sup> in standard notation.,68.43,short_answer
Express 3.361 × 10<sup>-1</sup> in standard notation.,0.3361,short_answer
Express 2.1152 × 10<sup>0</sup> in standard notation.,2.1152,short_answer
Express 0.227 in scientific notation.,2.27e-1;2.27E-1,short_answer
Express 0.28809 in scientific notation.,2.8809e-1;2.8809E-1,short_answer
Express 1.8 × 10<sup>2</sup> in standard notation.,180,short_answer
Express 1.04 in scientific notation.,1.04e0;1.04E0,short_answer
Express 1.283 × 10<sup>1</sup> in standard notation.,12.83,short_answer
Express 4.17 × 10<sup>-1</sup> in standard notation.,0.417,short_answer
Express 9.793 × 10<sup>1</sup> in standard notation.,97.93,short_answer
Express 1.0847 × 10<sup>1</sup> in standard notation.,10.847,short_answer
