question,correct_answers
What is the atomic number of Hydrogen?,['1']
What is the atomic number of Helium?,['2']
What is the atomic number of Lithium?,['3']
What is the atomic number of Beryllium?,['4']
What is the atomic number of Boron?,['5']
What is the atomic number of Carbon?,['6']
What is the atomic number of Nitrogen?,['7']
What is the atomic number of Oxygen?,['8']
What is the atomic number of Fluorine?,['9']
What is the atomic number of Neon?,['10']
What is the atomic number of Sodium?,['11']
What is the atomic number of Magnesium?,['12']
What is the atomic number of Aluminum?,['13']
What is the atomic number of Silicon?,['14']
What is the atomic number of Phosphorus?,['15']
What is the atomic number of Sulfur?,['16']
What is the atomic number of Chlorine?,['17']
What is the atomic number of Argon?,['18']
What is the atomic number of Potassium?,['19']
What is the atomic number of Calcium?,['20']
What is the atomic number of Scandium?,['21']
What is the atomic number of Titanium?,['22']
What is the atomic number of Vanadium?,['23']
What is the atomic number of Chromium?,['24']
What is the atomic number of Manganese?,['25']
What is the atomic number of Iron?,['26']
What is the atomic number of Cobalt?,['27']
What is the atomic number of Nickel?,['28']
What is the atomic number of Copper?,['29']
What is the atomic number of Zinc?,['30']
What is the atomic number of Gallium?,['31']
What is the atomic number of Germanium?,['32']
What is the atomic number of Arsenic?,['33']
What is the atomic number of Selenium?,['34']
What is the atomic number of Bromine?,['35']
What is the atomic number of Krypton?,['36']
What is the atomic number of Rubidium?,['37']
What is the atomic number of Strontium?,['38']
What is the atomic number of Yttrium?,['39']
What is the atomic number of Zirconium?,['40']
What is the atomic number of Niobium?,['41']
What is the atomic number of Molybdenum?,['42']
What is the atomic number of Technetium?,['43']
What is the atomic number of Ruthenium?,['44']
What is the atomic number of Rhodium?,['45']
What is the atomic number of Palladium?,['46']
What is the atomic number of Silver?,['47']
What is the atomic number of Cadmium?,['48']
What is the atomic number of Indium?,['49']
What is the atomic number of Tin?,['50']
What is the atomic number of Antimony?,['51']
What is the atomic number of Tellurium?,['52']
What is the atomic number of Iodine?,['53']
What is the atomic number of Xenon?,['54']
What is the atomic number of Cesium?,['55']
What is the atomic number of Barium?,['56']
What is the atomic number of Lanthanum?,['57']
What is the atomic number of Cerium?,['58']
What is the atomic number of Praseodymium?,['59']
What is the atomic number of Neodymium?,['60']
What is the atomic number of Promethium?,['61']
What is the atomic number of Samarium?,['62']
What is the atomic number of Europium?,['63']
What is the atomic number of Gadolinium?,['64']
What is the atomic number of Terbium?,['65']
What is the atomic number of Dysprosium?,['66']
What is the atomic number of Holmium?,['67']
What is the atomic number of Erbium?,['68']
What is the atomic number of Thulium?,['69']
What is the atomic number of Ytterbium?,['70']
What is the atomic number of Lutetium?,['71']
What is the atomic number of Hafnium?,['72']
What is the atomic number of Tantalum?,['73']
What is the atomic number of Tungsten?,['74']
What is the atomic number of Rhenium?,['75']
What is the atomic number of Osmium?,['76']
What is the atomic number of Iridium?,['77']
What is the atomic number of Platinum?,['78']
What is the atomic number of Gold?,['79']
What is the atomic number of Mercury?,['80']
What is the atomic number of Thallium?,['81']
What is the atomic number of Lead?,['82']
What is the atomic number of Bismuth?,['83']
What is the atomic number of Polonium?,['84']
What is the atomic number of Astatine?,['85']
What is the atomic number of Radon?,['86']
What is the atomic number of Francium?,['87']
What is the atomic number of Radium?,['88']
What is the atomic number of Actinium?,['89']
What is the atomic number of Thorium?,['90']
What is the atomic number of Protactinium?,['91']
What is the atomic number of Uranium?,['92']
What is the atomic number of Neptunium?,['93']
What is the atomic number of Plutonium?,['94']
What is the atomic number of Americium?,['95']
What is the atomic number of Curium?,['96']
What is the atomic number of Berkelium?,['97']
What is the atomic number of Californium?,['98']
What is the atomic number of Einsteinium?,['99']
What is the atomic number of Fermium?,['100']
What is the atomic number of Mendelevium?,['101']
What is the atomic number of Nobelium?,['102']
What is the atomic number of Lawrencium?,['103']
What is the atomic number of Rutherfordium?,['104']
What is the atomic number of Dubnium?,['105']
What is the atomic number of Seaborgium?,['106']
What is the atomic number of Bohrium?,['107']
What is the atomic number of Hassium?,['108']
What is the atomic number of Meitnerium?,['109']
What is the atomic number of Darmstadtium?,['110']
What is the atomic number of Roentgenium?,['111']
What is the atomic number of Copernicium?,['112']
What is the atomic number of Nihonium?,['113']
What is the atomic number of Flerovium?,['114']
What is the atomic number of Moscovium?,['115']
What is the atomic number of Livermorium?,['116']
What is the atomic number of Tennessine?,['117']
What is the atomic number of Oganesson?,['118']
