question,correct_answers,incorrect_answers,question_type
What phase is Hydrogen at room temperature?,Gas,Solid;Liquid,multiple_choice
What phase is Helium at room temperature?,Gas,Solid;Liquid,multiple_choice
What phase is Lithium at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Beryllium at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Boron at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Carbon at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Nitrogen at room temperature?,Gas,Solid;Liquid,multiple_choice
What phase is Oxygen at room temperature?,Gas,Solid;Liquid,multiple_choice
What phase is Fluorine at room temperature?,Gas,Solid;Liquid,multiple_choice
What phase is Neon at room temperature?,Gas,Solid;Liquid,multiple_choice
What phase is Sodium at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Magnesium at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Aluminum at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Silicon at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Phosphorus at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Sulfur at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Chlorine at room temperature?,Gas,Solid;Liquid,multiple_choice
What phase is Argon at room temperature?,Gas,Solid;Liquid,multiple_choice
What phase is Potassium at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Calcium at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Scandium at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Titanium at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Vanadium at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Chromium at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Manganese at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Iron at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Cobalt at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Nickel at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Copper at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Zinc at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Bromine at room temperature?,Liquid,Solid;Gas,multiple_choice
What phase is Krypton at room temperature?,Gas,Solid;Liquid,multiple_choice
What phase is Iodine at room temperature?,Solid,Liquid;Gas,multiple_choice
What phase is Xenon at room temperature?,Gas,Solid;Liquid,multiple_choice
What phase is Mercury at room temperature?,Liquid,Solid;Gas,multiple_choice
What phase is Radon at room temperature?,Gas,Solid;Liquid,multiple_choice
