question,correct_answers,question_type
Convert 0.00123 mol O to atoms O.,7.41e20;7.41e20;7.41E20;7.4e20;7.4e20;7.4E20;7.410e20;7.410e20;7.410E20;7.40e20;7.40e20;7.40E20;7.4e20;7.4e20;7.4E20;7.400e20;7.400e20;7.400E20,short_answer
Convert 0.12 mol He to atoms He.,7.2e22;7.2e22;7.2E22;7e22;7e22;7E22;7.20e22;7.20e22;7.20E22;7.1e22;7.1e22;7.1E22;7e22;7e22;7E22;7.10e22;7.10e22;7.10E22,short_answer
Convert 0.002 mol Cl<sub>2</sub> to molecules Cl<sub>2</sub>.,1e21;1e21;1E21;1.0e21;1.0e21;1.0E21;0e0;0e0;0E0;0;0.,short_answer
Convert 5.0 x 10<sup>21</sup> atoms F to mol F.,0.0083;8.3e-3;8.3E-3;.0083;0.008;8e-3;8E-3;.008;0.00830;8.30e-3;8.30E-3;.00830;0.0082;8.2e-3;8.2E-3;.0082;0.008;8e-3;8E-3;.008;0.00820;8.20e-3;8.20E-3;.00820,short_answer
Convert 3 x 10<sup>22</sup> molecules HNO<sub>3</sub> to mol HNO<sub>3</sub>.,0.05;5e-2;5E-2;.05;0.050;5.0e-2;5.0E-2;.050;0.04;4e-2;4E-2;.04;0.040;4.0e-2;4.0E-2;.040,short_answer
Convert 2 mol NH<sub>3</sub> to molecules NH<sub>3</sub>.,1e24;1e24;1E24;1.0e24;1.0e24;1.0E24;0e0;0e0;0E0;0;0.,short_answer
Convert 8.5 mol C to atoms C.,5.1e24;5.1e24;5.1E24;5e24;5e24;5E24;5.10e24;5.10e24;5.10E24;5.0e24;5.0e24;5.0E24;5e24;5e24;5E24;5.00e24;5.00e24;5.00E24,short_answer
Convert 8.4 x 10<sup>21</sup> molecules HNO<sub>3</sub> to mol HNO<sub>3</sub>.,0.014;1.4e-2;1.4E-2;.014;0.01;1e-2;1E-2;.01;0.0140;1.40e-2;1.40E-2;.0140;0.013;1.3e-2;1.3E-2;.013;0.01;1e-2;1E-2;.01;0.0130;1.30e-2;1.30E-2;.0130,short_answer
Convert 2.2 x 10<sup>22</sup> molecules NO<sub>2</sub> to mol NO<sub>2</sub>.,0.037;3.7e-2;3.7E-2;.037;0.04;4e-2;4E-2;.04;0.0370;3.70e-2;3.70E-2;.0370;0.036;3.6e-2;3.6E-2;.036;0.04;4e-2;4E-2;.04;0.0360;3.60e-2;3.60E-2;.0360,short_answer
Convert 1.27 x 10<sup>23</sup> molecules N<sub>2</sub>O to mol N<sub>2</sub>O.,0.211;2.11e-1;2.11E-1;.211;0.21;2.1e-1;2.1E-1;.21;0.2110;2.110e-1;2.110E-1;.2110;0.210;2.10e-1;2.10E-1;.210;0.21;2.1e-1;2.1E-1;.21;0.2100;2.100e-1;2.100E-1;.2100,short_answer
Convert 0.008998 mol NO<sub>2</sub> to molecules NO<sub>2</sub>.,5.419e21;5.419e21;5.419E21;5.42e21;5.42e21;5.42E21;5.4190e21;5.4190e21;5.4190E21;5.418e21;5.418e21;5.418E21;5.42e21;5.42e21;5.42E21;5.4180e21;5.4180e21;5.4180E21,short_answer
Convert 0.016 mol Ni to atoms Ni.,9.6e21;9.6e21;9.6E21;1.0e22;1.0e22;1.0E22;9.60e21;9.60e21;9.60E21;9.5e21;9.5e21;9.5E21;1.0e22;1.0e22;1.0E22;9.50e21;9.50e21;9.50E21,short_answer
Convert 48.14 mol K<sup>+</sup> to ions K<sup>+</sup>.,2.899e25;2.899e25;2.899E25;2.90e25;2.90e25;2.90E25;2.8990e25;2.8990e25;2.8990E25;2.898e25;2.898e25;2.898E25;2.90e25;2.90e25;2.90E25;2.8980e25;2.8980e25;2.8980E25,short_answer
Convert 0.02 mol Cl<sub>2</sub> to molecules Cl<sub>2</sub>.,1e22;1e22;1E22;1.0e22;1.0e22;1.0E22;0e0;0e0;0E0;0;0.,short_answer
Convert 1.37 x 10<sup>22</sup> molecules Cl<sub>2</sub> to mol Cl<sub>2</sub>.,0.0227;2.27e-2;2.27E-2;.0227;0.023;2.3e-2;2.3E-2;.023;0.02270;2.270e-2;2.270E-2;.02270;0.0226;2.26e-2;2.26E-2;.0226;0.023;2.3e-2;2.3E-2;.023;0.02260;2.260e-2;2.260E-2;.02260,short_answer
