question,correct_answers,question_type
2100 × 0.3 =,600;6e2;6E2,short_answer
26 × 10000 =,300000;3e5;3E5,short_answer
0.00122 × 28254 =,34.5;3.45e1;3.45E1,short_answer
9442 × 0.06641 =,627.0;6.270e2;6.270E2,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{8.57}{0.28}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B8.57%7D%7B0.28%7D%3D?scale=1.5"" alt=""LaTeX: \frac{8.57}{0.28}="" data-equation-content=""\frac{8.57}{0.28}="" data-ignore-a11y-check=""""></mattext>",31;3.1e1;3.1E1;31.,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.06}{67.25}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.06%7D%7B67.25%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.06}{67.25}="" data-equation-content=""\frac{0.06}{67.25}="" data-ignore-a11y-check=""""></mattext>",0.0009;9e-4;9E-4;.0009,short_answer
0.6812 × 0.011941 =,0.008134;8.134e-3;8.134E-3;.008134,short_answer
4000 × 121 =,500000;5e5;5E5,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{64.2}{13000}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B64.2%7D%7B13000%7D%3D?scale=1.5"" alt=""LaTeX: \frac{64.2}{13000}="" data-equation-content=""\frac{64.2}{13000}="" data-ignore-a11y-check=""""></mattext>",0.0049;4.9e-3;4.9E-3;.0049,short_answer
80590 × 68.3 =,5.50e6;5.50e6;5.50E6,short_answer
30000 × 50 =,2e6;2e6;2E6,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{3.7744}{2.6}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B3.7744%7D%7B2.6%7D%3D?scale=1.5"" alt=""LaTeX: \frac{3.7744}{2.6}="" data-equation-content=""\frac{3.7744}{2.6}="" data-ignore-a11y-check=""""></mattext>",1.5;1.5e0;1.5E0,short_answer
98.70 × 55.498 =,5478;5.478e3;5.478E3;5478.,short_answer
0.20 × 0.00013461 =,0.000027;2.7e-5;2.7E-5;.000027,short_answer
53187 × 42000 =,2.2e9;2.2e9;2.2E9,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{9674.7}{0.00058}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B9674.7%7D%7B0.00058%7D%3D?scale=1.5"" alt=""LaTeX: \frac{9674.7}{0.00058}="" data-equation-content=""\frac{9674.7}{0.00058}="" data-ignore-a11y-check=""""></mattext>",1.7e7;1.7e7;1.7E7,short_answer
0.000107 × 504.2 =,0.0539;5.39e-2;5.39E-2;.0539,short_answer
36.23 × 69.47 =,2517;2.517e3;2.517E3;2517.,short_answer
0.1170 × 20 =,2;2e0;2E0;2.,short_answer
660 × 889 =,590000;5.9e5;5.9E5,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{12000}{1.03}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B12000%7D%7B1.03%7D%3D?scale=1.5"" alt=""LaTeX: \frac{12000}{1.03}="" data-equation-content=""\frac{12000}{1.03}="" data-ignore-a11y-check=""""></mattext>",12000;1.2e4;1.2E4,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{47}{40}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B47%7D%7B40%7D%3D?scale=1.5"" alt=""LaTeX: \frac{47}{40}="" data-equation-content=""\frac{47}{40}="" data-ignore-a11y-check=""""></mattext>",1;1e0;1E0;1.,short_answer
34 × 0.01160 =,0.39;3.9e-1;3.9E-1;.39,short_answer
2.0 x 10<sup>4</sup> × 0.000270 =,5.4;5.4e0;5.4E0,short_answer
35360 × 0.00123 =,43.5;4.35e1;4.35E1,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1.16}{0.00264}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1.16%7D%7B0.00264%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1.16}{0.00264}="" data-equation-content=""\frac{1.16}{0.00264}="" data-ignore-a11y-check=""""></mattext>",439;4.39e2;4.39E2;439.,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.0011252}{9700}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.0011252%7D%7B9700%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.0011252}{9700}="" data-equation-content=""\frac{0.0011252}{9700}="" data-ignore-a11y-check=""""></mattext>",1.2e-7;1.2e-7;1.2E-7,short_answer
20000 × 4.532 =,90000;9e4;9E4,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{5800}{0.0009743}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B5800%7D%7B0.0009743%7D%3D?scale=1.5"" alt=""LaTeX: \frac{5800}{0.0009743}="" data-equation-content=""\frac{5800}{0.0009743}="" data-ignore-a11y-check=""""></mattext>",6.0e6;6.0e6;6.0E6,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{10330}{0.005670}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B10330%7D%7B0.005670%7D%3D?scale=1.5"" alt=""LaTeX: \frac{10330}{0.005670}="" data-equation-content=""\frac{10330}{0.005670}="" data-ignore-a11y-check=""""></mattext>",1.822e6;1.822e6;1.822E6,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1000}{3550}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1000%7D%7B3550%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1000}{3550}="" data-equation-content=""\frac{1000}{3550}="" data-ignore-a11y-check=""""></mattext>",0.3;3e-1;3E-1;.3,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1.0276}{58200}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1.0276%7D%7B58200%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1.0276}{58200}="" data-equation-content=""\frac{1.0276}{58200}="" data-ignore-a11y-check=""""></mattext>",0.0000177;1.77e-5;1.77E-5;.0000177,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{140}{0.2767}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B140%7D%7B0.2767%7D%3D?scale=1.5"" alt=""LaTeX: \frac{140}{0.2767}="" data-equation-content=""\frac{140}{0.2767}="" data-ignore-a11y-check=""""></mattext>",510;5.1e2;5.1E2,short_answer
6500 × 40 =,300000;3e5;3E5,short_answer
0.08233 × 3 =,0.2;2e-1;2E-1;.2,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.0063410}{0.0001139}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.0063410%7D%7B0.0001139%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.0063410}{0.0001139}="" data-equation-content=""\frac{0.0063410}{0.0001139}="" data-ignore-a11y-check=""""></mattext>",55.67;5.567e1;5.567E1,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.00047}{0.004680}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.00047%7D%7B0.004680%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.00047}{0.004680}="" data-equation-content=""\frac{0.00047}{0.004680}="" data-ignore-a11y-check=""""></mattext>",0.10;1.0e-1;1.0E-1;.10,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{11.80}{0.019164}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B11.80%7D%7B0.019164%7D%3D?scale=1.5"" alt=""LaTeX: \frac{11.80}{0.019164}="" data-equation-content=""\frac{11.80}{0.019164}="" data-ignore-a11y-check=""""></mattext>",615.7;6.157e2;6.157E2,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{26.9}{32}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B26.9%7D%7B32%7D%3D?scale=1.5"" alt=""LaTeX: \frac{26.9}{32}="" data-equation-content=""\frac{26.9}{32}="" data-ignore-a11y-check=""""></mattext>",0.84;8.4e-1;8.4E-1;.84,short_answer
0.6639 × 0.0016556 =,0.001099;1.099e-3;1.099E-3;.001099,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.02}{0.62}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.02%7D%7B0.62%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.02}{0.62}="" data-equation-content=""\frac{0.02}{0.62}="" data-ignore-a11y-check=""""></mattext>",0.03;3e-2;3E-2;.03,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.023932}{12705}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.023932%7D%7B12705%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.023932}{12705}="" data-equation-content=""\frac{0.023932}{12705}="" data-ignore-a11y-check=""""></mattext>",0.0000018837;1.8837e-6;1.8837E-6;.0000018837,short_answer
370 × 1 =,400;4e2;4E2,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{100000}{138}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B100000%7D%7B138%7D%3D?scale=1.5"" alt=""LaTeX: \frac{100000}{138}="" data-equation-content=""\frac{100000}{138}="" data-ignore-a11y-check=""""></mattext>",700;7e2;7E2,short_answer
0.00033 × 0.17 =,0.000056;5.6e-5;5.6E-5;.000056,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{3900}{34460}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B3900%7D%7B34460%7D%3D?scale=1.5"" alt=""LaTeX: \frac{3900}{34460}="" data-equation-content=""\frac{3900}{34460}="" data-ignore-a11y-check=""""></mattext>",0.11;1.1e-1;1.1E-1;.11,short_answer
290 × 0.001 =,0.3;3e-1;3E-1;.3,short_answer
0.250 × 0.2 =,0.05;5e-2;5E-2;.05,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{4.2}{179.08}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B4.2%7D%7B179.08%7D%3D?scale=1.5"" alt=""LaTeX: \frac{4.2}{179.08}="" data-equation-content=""\frac{4.2}{179.08}="" data-ignore-a11y-check=""""></mattext>",0.023;2.3e-2;2.3E-2;.023,short_answer
4.80 x 10<sup>4</sup> × 0.1121 =,5380;5.38e3;5.38E3,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1.160}{7547.8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1.160%7D%7B7547.8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1.160}{7547.8}="" data-equation-content=""\frac{1.160}{7547.8}="" data-ignore-a11y-check=""""></mattext>",0.0001537;1.537e-4;1.537E-4;.0001537,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1.465}{0.00069}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1.465%7D%7B0.00069%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1.465}{0.00069}="" data-equation-content=""\frac{1.465}{0.00069}="" data-ignore-a11y-check=""""></mattext>",2100;2.1e3;2.1E3,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{50}{14.41}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B50%7D%7B14.41%7D%3D?scale=1.5"" alt=""LaTeX: \frac{50}{14.41}="" data-equation-content=""\frac{50}{14.41}="" data-ignore-a11y-check=""""></mattext>",3;3e0;3E0;3.,short_answer
0.0002 × 81.856 =,0.02;2e-2;2E-2;.02,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.046}{1.4}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.046%7D%7B1.4%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.046}{1.4}="" data-equation-content=""\frac{0.046}{1.4}="" data-ignore-a11y-check=""""></mattext>",0.033;3.3e-2;3.3E-2;.033,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.0061278}{0.0001}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.0061278%7D%7B0.0001%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.0061278}{0.0001}="" data-equation-content=""\frac{0.0061278}{0.0001}="" data-ignore-a11y-check=""""></mattext>",60;6e1;6E1,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.055781}{3697.8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.055781%7D%7B3697.8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.055781}{3697.8}="" data-equation-content=""\frac{0.055781}{3697.8}="" data-ignore-a11y-check=""""></mattext>",0.000015085;1.5085e-5;1.5085E-5;.000015085,short_answer
0.0024979 × 0.0069 =,0.000017;1.7e-5;1.7E-5;.000017,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2.664}{0.070184}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2.664%7D%7B0.070184%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2.664}{0.070184}="" data-equation-content=""\frac{2.664}{0.070184}="" data-ignore-a11y-check=""""></mattext>",37.96;3.796e1;3.796E1,short_answer
6.66 × 0.00017097 =,0.00114;1.14e-3;1.14E-3;.00114,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.00062499}{23.6}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.00062499%7D%7B23.6%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.00062499}{23.6}="" data-equation-content=""\frac{0.00062499}{23.6}="" data-ignore-a11y-check=""""></mattext>",0.0000265;2.65e-5;2.65E-5;.0000265,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{20000}{40000}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B20000%7D%7B40000%7D%3D?scale=1.5"" alt=""LaTeX: \frac{20000}{40000}="" data-equation-content=""\frac{20000}{40000}="" data-ignore-a11y-check=""""></mattext>",0.5;5e-1;5E-1;.5,short_answer
