question,correct_answers,question_type
What is the mass of a sample (in g) whose density is 1.6 g/cm<sup>3</sup> and whose volume is 4.635 cm<sup>3</sup>.,7.4;7.4e0;7.4E0;7;7e0;7E0;7.;7.42;7.42e0;7.42E0;7.5;7.5e0;7.5E0;8;8e0;8E0;8.;7.50;7.50e0;7.50E0,short_answer
A sample has a mass of 30.6 g and a density of 19 g/mL. Calculate the volume of the sample in mL,1.6;1.6e0;1.6E0;2;2e0;2E0;2.;1.61;1.61e0;1.61E0;1.7;1.7e0;1.7E0;2;2e0;2E0;2.;1.70;1.70e0;1.70E0,short_answer
What is the mass of a sample (in g) whose volume is 13 cm<sup>3</sup> and whose density is 1.060 g/cm<sup>3</sup>.,14;1.4e1;1.4E1;14.;10;1e1;1E1;13.8;1.38e1;1.38E1;13;1.3e1;1.3E1;13.;10;1e1;1E1;13.0;1.30e1;1.30E1,short_answer
A sample has a density of 18 g/mL and a mass of 410. g. Calculate the volume of the sample in mL,23;2.3e1;2.3E1;23.;20;2e1;2E1;22.8;2.28e1;2.28E1;22;2.2e1;2.2E1;22.;20;2e1;2E1;22.0;2.20e1;2.20E1,short_answer
What is the mass of a sample (in g) whose volume is 22 cm<sup>3</sup> and whose density is 14.7 g/cm<sup>3</sup>.,320;3.2e2;3.2E2;300;3e2;3E2;323;3.23e2;3.23E2;323.;330;3.3e2;3.3E2;300;3e2;3E2;330.;3.30e2;3.30E2;330..,short_answer
A sample has a mass of 6.60 x 10<sup>4</sup> g and a density of 1.475 g/mL. Calculate the volume of the sample in mL,44700;4.47e4;4.47E4;45000;4.5e4;4.5E4;44750;4.475e4;4.475E4;44800;4.48e4;4.48E4;45000;4.5e4;4.5E4;4.480e4;4.480e4;4.480E4,short_answer
Calculate the density of a material (in g/cm<sup>3</sup>) given the following data:<br>Mass = 140 g<br>Volume = 150 cm<sup>3</sup>,0.93;9.3e-1;9.3E-1;.93;0.9;9e-1;9E-1;.9;0.933;9.33e-1;9.33E-1;.933;0.94;9.4e-1;9.4E-1;.94;0.9;9e-1;9E-1;.9;0.940;9.40e-1;9.40E-1;.940,short_answer
Calculate the density of a material (in g/cm<sup>3</sup>) given the following data:<br>Volume = 30.80 cm<sup>3</sup><br>Mass = 19 g,0.62;6.2e-1;6.2E-1;.62;0.6;6e-1;6E-1;.6;0.617;6.17e-1;6.17E-1;.617;0.61;6.1e-1;6.1E-1;.61;0.6;6e-1;6E-1;.6;0.610;6.10e-1;6.10E-1;.610,short_answer
Calculate the density of a material (in g/mL) given the following data:<br>Mass = 0.0140 g<br>Volume = 0.008621 mL,1.62;1.62e0;1.62E0;1.6;1.6e0;1.6E0;1.624;1.624e0;1.624E0;1.63;1.63e0;1.63E0;1.6;1.6e0;1.6E0;1.630;1.630e0;1.630E0,short_answer
A sample has a mass of 3300 kg and a density of 2450 kg/m<sup>3</sup>. Calculate the volume of the sample in m<sup>3</sup>,1.3;1.3e0;1.3E0;1;1e0;1E0;1.;1.35;1.35e0;1.35E0;1.4;1.4e0;1.4E0;1;1e0;1E0;1.;1.40;1.40e0;1.40E0,short_answer
What is the mass of a sample (in g) whose density is 2.95 g/mL and whose volume is 22.43 mL.,66.2;6.62e1;6.62E1;66;6.6e1;6.6E1;66.;66.17;6.617e1;6.617E1;66.1;6.61e1;6.61E1;66;6.6e1;6.6E1;66.;66.10;6.610e1;6.610E1,short_answer
A sample has a mass of 1680 kg and a density of 9374 kg/m<sup>3</sup>. Calculate the volume of the sample in m<sup>3</sup>,0.179;1.79e-1;1.79E-1;.179;0.18;1.8e-1;1.8E-1;.18;0.1792;1.792e-1;1.792E-1;.1792;0.180;1.80e-1;1.80E-1;.180;0.18;1.8e-1;1.8E-1;.18;0.1800;1.800e-1;1.800E-1;.1800,short_answer
What is the mass of a sample (in kg) whose volume is 0.758 m<sup>3</sup> and whose density is 15400 kg/m<sup>3</sup>.,11700;1.17e4;1.17E4;12000;1.2e4;1.2E4;11670;1.167e4;1.167E4;11600;1.16e4;1.16E4;12000;1.2e4;1.2E4;1.160e4;1.160e4;1.160E4,short_answer
Calculate the density of a material (in kg/m<sup>3</sup>) given the following data:<br>Volume = 6.188 m<sup>3</sup><br>Mass = 3500 kg,570;5.7e2;5.7E2;600;6e2;6E2;566;5.66e2;5.66E2;566.;560;5.6e2;5.6E2;600;6e2;6E2;560.;5.60e2;5.60E2;560..,short_answer
A sample has a mass of 70. g and a density of 0.9367 g/cm<sup>3</sup>. Calculate the volume of the sample in cm<sup>3</sup>,75;7.5e1;7.5E1;75.;70;7e1;7E1;74.7;7.47e1;7.47E1;74;7.4e1;7.4E1;74.;70;7e1;7E1;74.0;7.40e1;7.40E1,short_answer
What is the mass of a sample (in g) whose volume is 202.4 mL and whose density is 1.020 g/mL.,206.4;2.064e2;2.064E2;206;2.06e2;2.06E2;206.;206.45;2.0645e2;2.0645E2;206.5;2.065e2;2.065E2;207;2.07e2;2.07E2;207.;206.50;2.0650e2;2.0650E2,short_answer
Calculate the density of a material (in kg/m<sup>3</sup>) given the following data:<br>Volume = 82 m<sup>3</sup><br>Mass = 53000 kg,650;6.5e2;6.5E2;600;6e2;6E2;646;6.46e2;6.46E2;646.;640;6.4e2;6.4E2;600;6e2;6E2;640.;6.40e2;6.40E2;640..,short_answer
What is the mass of a sample (in g) whose volume is 460 mL and whose density is 5.6 g/mL.,2600;2.6e3;2.6E3;3000;3e3;3E3;2580;2.58e3;2.58E3;2500;2.5e3;2.5E3;3000;3e3;3E3;2.50e3;2.50e3;2.50E3,short_answer
