question,correct_answers,question_type
How many molecules are in a 30 mol sample of CuSO<sub>4</sub>?,2e25;2e25;2E25;1.8e25;1.8e25;1.8E25;1e25;1e25;1E25;1.0e25;1.0e25;1.0E25,short_answer
How many moles are in a 1431 g sample of CH<sub>5</sub>N?,46.08;4.608e1;4.608E1;46.1;4.61e1;4.61E1;46.080;4.6080e1;4.6080E1;46.07;4.607e1;4.607E1;46.1;4.61e1;4.61E1;46.070;4.6070e1;4.6070E1,short_answer
How many moles are in a 4 g sample of HBr?,0.05;5e-2;5E-2;.05;0.050;5.0e-2;5.0E-2;.050;0.04;4e-2;4E-2;.04;0.040;4.0e-2;4.0E-2;.040,short_answer
How much does 0.1033 mol of CO weigh (in g)?,2.893;2.893e0;2.893E0;2.89;2.89e0;2.89E0;2.8934;2.8934e0;2.8934E0;2.894;2.894e0;2.894E0;2.89;2.89e0;2.89E0;2.8940;2.8940e0;2.8940E0,short_answer
What is the mass in g of 0.15 moles of N<sub>2</sub>H<sub>4</sub>?,4.8;4.8e0;4.8E0;5;5e0;5E0;5.;4.81;4.81e0;4.81E0;4.9;4.9e0;4.9E0;5;5e0;5E0;5.;4.90;4.90e0;4.90E0,short_answer
What is the number of moles in a 2000 g sample of KNO<sub>3</sub>?,20;2e1;2E1;20.;2.0e1;2.0E1;20..;10;1e1;1E1;10.;1.0e1;1.0E1;10..,short_answer
How many molecules are in a 3379 g sample of C<sub>6</sub>H<sub>6</sub>?,2.605e25;2.605e25;2.605E25;2.61e25;2.61e25;2.61E25;2.6052e25;2.6052e25;2.6052E25;2.606e25;2.606e25;2.606E25;2.61e25;2.61e25;2.61E25;2.6060e25;2.6060e25;2.6060E25,short_answer
How many moles are in a 3.83 g sample of AlCl<sub>3</sub>?,0.0287;2.87e-2;2.87E-2;.0287;0.029;2.9e-2;2.9E-2;.029;0.02870;2.870e-2;2.870E-2;.02870;0.0286;2.86e-2;2.86E-2;.0286;0.029;2.9e-2;2.9E-2;.029;0.02860;2.860e-2;2.860E-2;.02860,short_answer
What is the mass in g of 26.9 moles of AuCl<sub>3</sub>?,8160;8.16e3;8.16E3;8200;8.2e3;8.2E3;8159;8.159e3;8.159E3;8159.;8150;8.15e3;8.15E3;8200;8.2e3;8.2E3;8150.;8.150e3;8.150E3;8150..,short_answer
How many moles are in a 44.90 g sample of Cl<sub>2</sub>?,0.6333;6.333e-1;6.333E-1;.6333;0.633;6.33e-1;6.33E-1;.633;0.63330;6.3330e-1;6.3330E-1;.63330;0.6332;6.332e-1;6.332E-1;.6332;0.633;6.33e-1;6.33E-1;.633;0.63320;6.3320e-1;6.3320E-1;.63320,short_answer
What is the mass of 6.468 x 10<sup>22</sup> molecules of H<sub>2</sub>CO<sub>3</sub> in g?,6.661;6.661e0;6.661E0;6.66;6.66e0;6.66E0;6.6614;6.6614e0;6.6614E0;6.662;6.662e0;6.662E0;6.66;6.66e0;6.66E0;6.6620;6.6620e0;6.6620E0,short_answer
What is the mass in g of 2.418 moles of F<sub>2</sub>?,91.88;9.188e1;9.188E1;91.9;9.19e1;9.19E1;91.876;9.1876e1;9.1876E1;91.87;9.187e1;9.187E1;91.9;9.19e1;9.19E1;91.870;9.1870e1;9.1870E1,short_answer
What is the mass of 6.38 x 10<sup>23</sup> molecules of WF<sub>6</sub> in g?,316;3.16e2;3.16E2;316.;320;3.2e2;3.2E2;315.7;3.157e2;3.157E2;315;3.15e2;3.15E2;315.;320;3.2e2;3.2E2;315.0;3.150e2;3.150E2,short_answer
What is the mass of 1.10 x 10<sup>22</sup> molecules of K<sub>2</sub>S in g?,2.02;2.02e0;2.02E0;2.0;2.0e0;2.0E0;2.018;2.018e0;2.018E0;2.01;2.01e0;2.01E0;2.0;2.0e0;2.0E0;2.010;2.010e0;2.010E0,short_answer
What is the mass of 1.5 x 10<sup>23</sup> molecules of O<sub>3</sub> in g?,12;1.2e1;1.2E1;12.;10;1e1;1E1;12.0;1.20e1;1.20E1;11;1.1e1;1.1E1;11.;10;1e1;1E1;11.0;1.10e1;1.10E1,short_answer
How much does 0.1261 mol of O<sub>3</sub> weigh (in g)?,6.052;6.052e0;6.052E0;6.05;6.05e0;6.05E0;6.0524;6.0524e0;6.0524E0;6.053;6.053e0;6.053E0;6.05;6.05e0;6.05E0;6.0530;6.0530e0;6.0530E0,short_answer
How much does 2.46 mol of HBr weigh (in g)?,199;1.99e2;1.99E2;199.;2.0e2;2.0e2;2.0E2;199.0;1.990e2;1.990E2;200.;2.00e2;2.00E2;200..;2.0e2;2.0e2;2.0E2;200.0;2.000e2;2.000E2,short_answer
How many molecules are in a 0.12 mol sample of Ag<sub>2</sub>O?,7.2e22;7.2e22;7.2E22;7e22;7e22;7E22;7.23e22;7.23e22;7.23E22;7.3e22;7.3e22;7.3E22;7e22;7e22;7E22;7.30e22;7.30e22;7.30E22,short_answer
What is the number of moles in a 5.12 g sample of MgO?,0.127;1.27e-1;1.27E-1;.127;0.13;1.3e-1;1.3E-1;.13;0.1270;1.270e-1;1.270E-1;.1270;0.126;1.26e-1;1.26E-1;.126;0.13;1.3e-1;1.3E-1;.13;0.1260;1.260e-1;1.260E-1;.1260,short_answer
How much does 5.96 mol of InP weigh (in g)?,869;8.69e2;8.69E2;869.;870;8.7e2;8.7E2;868.9;8.689e2;8.689E2;868;8.68e2;8.68E2;868.;870;8.7e2;8.7E2;868.0;8.680e2;8.680E2,short_answer
How much does 5 mol of H<sub>2</sub> weigh (in g)?,10;1e1;1E1;10.;1.0e1;1.0E1;10..;20;2e1;2E1;20.;2.0e1;2.0E1;20..,short_answer
What is the mass in g of 1.5 moles of NH<sub>3</sub>?,26;2.6e1;2.6E1;26.;30;3e1;3E1;25.5;2.55e1;2.55E1;25;2.5e1;2.5E1;25.;30;3e1;3E1;25.0;2.50e1;2.50E1,short_answer
What is the mass of 1.150 x 10<sup>23</sup> molecules of RuCl<sub>3</sub> in g?,39.62;3.962e1;3.962E1;39.6;3.96e1;3.96E1;39.617;3.9617e1;3.9617E1;39.61;3.961e1;3.961E1;39.6;3.96e1;3.96E1;39.610;3.9610e1;3.9610E1,short_answer
What is the mass in g of 0.02552 moles of AlP?,1.479;1.479e0;1.479E0;1.48;1.48e0;1.48E0;1.4790;1.4790e0;1.4790E0;1.480;1.480e0;1.480E0;1.48;1.48e0;1.48E0;1.4800;1.4800e0;1.4800E0,short_answer
How many molecules are in a 12 mol sample of AsF<sub>5</sub>?,7.2e24;7.2e24;7.2E24;7e24;7e24;7E24;7.23e24;7.23e24;7.23E24;7.3e24;7.3e24;7.3E24;7e24;7e24;7E24;7.30e24;7.30e24;7.30E24,short_answer
How many moles are in a 998.7 g sample of MgO?,24.78;2.478e1;2.478E1;24.8;2.48e1;2.48E1;24.780;2.4780e1;2.4780E1;24.77;2.477e1;2.477E1;24.8;2.48e1;2.48E1;24.770;2.4770e1;2.4770E1,short_answer
How many molecules are in a 0.0146 mol sample of C<sub>2</sub>H<sub>7</sub>N?,8.79e21;8.79e21;8.79E21;8.8e21;8.8e21;8.8E21;8.792e21;8.792e21;8.792E21;8.80e21;8.80e21;8.80E21;8.8e21;8.8e21;8.8E21;8.800e21;8.800e21;8.800E21,short_answer
