question,correct_answers,question_type
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>640.8876 ± 23.909,640 ± 20;640±20;6.4e2 ± 2e1;6.4e2±2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>134.5514 ± 0.370420,134.6 ± 0.4;134.6±0.4;1.346e2 ± 4e-1;1.346e2±4e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>27.689067 ± 0.047691,27.69 ± 0.05;27.69±0.05;2.769e1 ± 5e-2;2.769e1±5e-2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>814.00421 ± 11.377,814 ± 11;814±11;8.14e2 ± 1.1e1;8.14e2±1.1e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>311.69541 ± 44.352,310 ± 40;310±40;3.1e2 ± 4e1;3.1e2±4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>53.738518 ± 1.50049,53.7 ± 1.5;53.7±1.5;5.37e1 ± 1.5e0;5.37e1±1.5e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>193.84545 ± 22.360,190 ± 20;190±20;1.9e2 ± 2e1;1.9e2±2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>848.30224 ± 157.35,850 ± 160;850±160;8.5e2 ± 1.6e2;8.5e2±1.6e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>127.03090 ± 40.0737,130 ± 40;130±40;1.3e2 ± 4e1;1.3e2±4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>130.0017 ± 0.57154,130.0 ± 0.6;130.0±0.6;1.300e2 ± 6e-1;1.300e2±6e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>923.64023 ± 0.93424,923.6 ± 0.9;923.6±0.9;9.236e2 ± 9e-1;9.236e2±9e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>21.42441 ± 0.25617,21.4 ± 0.3;21.4±0.3;2.14e1 ± 3e-1;2.14e1±3e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>243.07631 ± 4.7357,243 ± 5;243±5;2.43e2 ± 5e0;2.43e2±5e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>772.32085 ± 57.8479,770 ± 60;770±60;7.7e2 ± 6e1;7.7e2±6e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>377.60760 ± 0.67833,377.6 ± 0.7;377.6±0.7;3.776e2 ± 7e-1;3.776e2±7e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>795.8508 ± 180.88,8.0e2 ± 180;8.0e2±180;8.0e2 ± 1.8e2;8.0e2±1.8e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>497.4861 ± 148.97,5.0e2 ± 150;5.0e2±150;5.0e2 ± 1.5e2;5.0e2±1.5e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>2.274589 ± 0.0040263,2.275 ± 0.004;2.275±0.004;2.275e0 ± 4e-3;2.275e0±4e-3,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>729.8175 ± 95.276,730 ± 1.0e2;730±1.0e2;7.3e2 ± 1.0e2;7.3e2±1.0e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>913.2889 ± 1.7246,913.3 ± 1.7;913.3±1.7;9.133e2 ± 1.7e0;9.133e2±1.7e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>159.6284 ± 0.693043,159.6 ± 0.7;159.6±0.7;1.596e2 ± 7e-1;1.596e2±7e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>672.3946 ± 27.526,670 ± 30;670±30;6.7e2 ± 3e1;6.7e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>558.7800 ± 0.70837,558.8 ± 0.7;558.8±0.7;5.588e2 ± 7e-1;5.588e2±7e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>740.0840 ± 10.559,740. ± 11;740.±11;7.40e2 ± 1.1e1;7.40e2±1.1e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>104.44323 ± 8.2499,104 ± 8;104±8;1.04e2 ± 8e0;1.04e2±8e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>421.16468 ± 1.10242,421.2 ± 1.1;421.2±1.1;4.212e2 ± 1.1e0;4.212e2±1.1e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>206.69564 ± 56.588,210 ± 60;210±60;2.1e2 ± 6e1;2.1e2±6e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>154.6383 ± 1.7789,154.6 ± 1.8;154.6±1.8;1.546e2 ± 1.8e0;1.546e2±1.8e0,short_answer
