question,correct_answers,question_type
Express 2.2 × 10<sup>-1</sup> in standard notation.,0.22,short_answer
Express 212 in scientific notation.,2.12e2;2.12E2,short_answer
Express 0.00337 in scientific notation.,3.37e-3;3.37E-3,short_answer
Express 0.0619 in scientific notation.,6.19e-2;6.19E-2,short_answer
Express 8.8 × 10<sup>-1</sup> in standard notation.,0.88,short_answer
Express 1.3839 × 10<sup>0</sup> in standard notation.,1.3839,short_answer
Express 2.4739 × 10<sup>-1</sup> in standard notation.,0.24739,short_answer
Express 0.01426 in scientific notation.,1.426e-2;1.426E-2,short_answer
Express 1.158 × 10<sup>0</sup> in standard notation.,1.158,short_answer
Express 15.18 in scientific notation.,1.518e1;1.518E1,short_answer
Express 2.7 × 10<sup>-1</sup> in standard notation.,0.27,short_answer
Express 0.099 in scientific notation.,9.9e-2;9.9E-2,short_answer
Express 7.5744 × 10<sup>1</sup> in standard notation.,75.744,short_answer
Express 6.8 in scientific notation.,6.8e0;6.8E0,short_answer
Express 0.00235 in scientific notation.,2.35e-3;2.35E-3,short_answer
Express 983.2 in scientific notation.,9.832e2;9.832E2,short_answer
Express 0.0687 in scientific notation.,6.87e-2;6.87E-2,short_answer
Express 9.135 × 10<sup>-2</sup> in standard notation.,0.09135,short_answer
Express 3.4108 × 10<sup>0</sup> in standard notation.,3.4108,short_answer
Express 14.86 in scientific notation.,1.486e1;1.486E1,short_answer
Express 2379.3 in scientific notation.,2.3793e3;2.3793E3,short_answer
Express 1.57 × 10<sup>1</sup> in standard notation.,15.7,short_answer
Express 0.33 in scientific notation.,3.3e-1;3.3E-1,short_answer
Express 1.5 × 10<sup>1</sup> in standard notation.,15,short_answer
Express 4.0093 × 10<sup>2</sup> in standard notation.,400.93,short_answer
Express 0.005531 in scientific notation.,5.531e-3;5.531E-3,short_answer
Express 3.6694 in scientific notation.,3.6694e0;3.6694E0,short_answer
Express 0.2654 in scientific notation.,2.654e-1;2.654E-1,short_answer
Express 2.871 × 10<sup>-2</sup> in standard notation.,0.02871,short_answer
Express 0.016 in scientific notation.,1.6e-2;1.6E-2,short_answer
Express 271.2 in scientific notation.,2.712e2;2.712E2,short_answer
Express 16 in scientific notation.,1.6e1;1.6E1,short_answer
Express 1.6 × 10<sup>-1</sup> in standard notation.,0.16,short_answer
Express 460.05 in scientific notation.,4.6005e2;4.6005E2,short_answer
Express 3.9 × 10<sup>0</sup> in standard notation.,3.9,short_answer
Express 4.24 × 10<sup>-2</sup> in standard notation.,0.0424,short_answer
Express 2.3656 × 10<sup>0</sup> in standard notation.,2.3656,short_answer
Express 0.0173 in scientific notation.,1.73e-2;1.73E-2,short_answer
Express 2.5944 × 10<sup>-1</sup> in standard notation.,0.25944,short_answer
