question,correct_answers,question_type
A first-order reaction has a timescale of 0.0075 min. Calculate the rate constant in units of s-1,2.2;2.2e0;2.2E0;2;2e0;2E0;2.;2.22;2.22e0;2.22E0,short_answer
The rate constant of a first-order reaction is 3880 s-1. Calculate the timescale of this reaction in s,0.000258;2.58e-4;2.58E-4;.000258;0.00026;2.6e-4;2.6E-4;.00026;0.0002580;2.580e-4;2.580E-4;.0002580,short_answer
A first-order reaction has a timescale of 523.5 min. Calculate the rate constant in units of s-1,0.00003184;3.184e-5;3.184E-5;.00003184;0.0000318;3.18e-5;3.18E-5;.0000318;0.000031837;3.1837e-5;3.1837E-5;.000031837,short_answer
A first-order reaction has a timescale of 2.1e-5 s. Calculate the rate constant in units of s-1,48000;4.8e4;4.8E4;50000;5e4;5E4;47600;4.76e4;4.76E4,short_answer
The rate constant of a first-order reaction is 926 s-1. Calculate the timescale of this reaction in s,0.00108;1.08e-3;1.08E-3;.00108;0.0011;1.1e-3;1.1E-3;.0011;0.001080;1.080e-3;1.080E-3;.001080,short_answer
The rate constant of a first-order reaction is 0.004246 s-1. Calculate the timescale of this reaction in s,235.5;2.355e2;2.355E2;236;2.36e2;2.36E2;236.;235.50;2.3550e2;2.3550E2,short_answer
The rate constant of a first-order reaction is 3.035 s-1. Calculate the timescale of this reaction in s,0.3295;3.295e-1;3.295E-1;.3295;0.330;3.30e-1;3.30E-1;.330;0.32950;3.2950e-1;3.2950E-1;.32950,short_answer
A first-order reaction has a timescale of 3e-6 s. Calculate the rate constant in units of s-1,300000;3e5;3E5;330000;3.3e5;3.3E5,short_answer
The rate constant of a first-order reaction is 50.8 s-1. Calculate the timescale of this reaction in s,0.0197;1.97e-2;1.97E-2;.0197;0.020;2.0e-2;2.0E-2;.020;0.01970;1.970e-2;1.970E-2;.01970,short_answer
The rate constant of a first-order reaction is 238 s-1. Calculate the timescale of this reaction in s,0.00420;4.20e-3;4.20E-3;.00420;0.0042;4.2e-3;4.2E-3;.0042;0.004200;4.200e-3;4.200E-3;.004200,short_answer
A first-order reaction has a timescale of 5000 s. Calculate the rate constant in units of s-1,0.0002;2e-4;2E-4;.0002;0.00020;2.0e-4;2.0E-4;.00020,short_answer
The rate constant of a first-order reaction is 37 s-1. Calculate the timescale of this reaction in s,0.027;2.7e-2;2.7E-2;.027;0.03;3e-2;3E-2;.03;0.0270;2.70e-2;2.70E-2;.0270,short_answer
