question,correct_answers,question_type
"Calculate the true mass of a sample whose density is 2.29 g cm-3 and whose displayed mass is 1.3662 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 298 K<br>P = 1080 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",1.3667;1.3667e0;1.3667E0,short_answer
"Calculate the true mass of a sample whose density is 2.4 g cm-3 and whose displayed mass is 4.9744 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 295 K<br>P = 763 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",4.9757;4.9757e0;4.9757E0,short_answer
"Calculate the true mass of a sample whose density is 1.36 g cm-3 and whose displayed mass is 3.3289 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 299 K<br>P = 788.2 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",3.3308;3.3308e0;3.3308E0,short_answer
"Calculate the true mass of a sample whose density is 1.5 g cm-3 and whose displayed mass is 2.1918 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 295 K<br>P = 725 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",2.1928;2.1928e0;2.1928E0,short_answer
"Calculate the true mass of a sample whose density is 2.2 g cm-3 and whose displayed mass is 2.1358 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 293 K<br>P = 733 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",2.1364;2.1364e0;2.1364E0,short_answer
"Calculate the true mass of a sample whose density is 3.112 g cm-3 and whose displayed mass is 2.4679 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 296 K<br>P = 1040. mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",2.4685;2.4685e0;2.4685E0,short_answer
"Calculate the true mass of a sample whose density is 3.81 g cm-3 and whose displayed mass is 3.4004 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 295 K<br>P = 1117 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",3.4010;3.4010e0;3.4010E0,short_answer
"Calculate the true mass of a sample whose density is 3.963 g cm-3 and whose displayed mass is 2.7128 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 296 K<br>P = 753 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",2.7131;2.7131e0;2.7131E0,short_answer
"Calculate the true mass of a sample whose density is 1.8 g cm-3 and whose displayed mass is 4.3804 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 294 K<br>P = 1006 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",4.3827;4.3827e0;4.3827E0,short_answer
"Calculate the true mass of a sample whose density is 2.22 g cm-3 and whose displayed mass is 3.9086 g<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_w"" src=""https://weber.instructure.com/equation_images/d_w?scale=1.5"" alt=""LaTeX: d_w"" data-equation-content=""d_w"" data-ignore-a11y-check=""""></mattext> = 7.99 g cm-3<br>T = 296 K<br>P = 958.4 mbar<br><mattext texttype=""text/html""><img class=""equation_image"" title=""d_a"" src=""https://weber.instructure.com/equation_images/d_a?scale=1.5"" alt=""LaTeX: d_a"" data-equation-content=""d_a"" data-ignore-a11y-check=""""></mattext> = 0.0011839 g cm-3 at 298 K, 1 bar",3.9101;3.9101e0;3.9101E0,short_answer
