question,correct_answers,question_type
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 1.8 mmHg.<br>Give your answer in units of mmHg.,18;1.8e1;1.8E1;18.,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 15 A.<br>Give your answer in units of A.,45;4.5e1;4.5E1;45.,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 0.088 yr.<br>Give your answer in units of yr.,0.26;2.6e-1;2.6E-1;.26,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 27 km.<br>Give your answer in units of km.,81;8.1e1;8.1E1;81.,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 0.2 nm.<br>Give your answer in units of nm.,0.6;6e-1;6E-1;.6,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 140.24 s.<br>Give your answer in units of s.,420.72;4.2072e2;4.2072E2,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 0.2 W.<br>Give your answer in units of W.,0.6;6e-1;6E-1;.6,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 0.00123 W.<br>Give your answer in units of W.,0.0123;1.23e-2;1.23E-2;.0123,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 0.009465 ms.<br>Give your answer in units of ms.,0.02839;2.839e-2;2.839E-2;.02839,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 11 mA.<br>Give your answer in units of mA.,110;1.1e2;1.1E2,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 0.006355 mbar.<br>Give your answer in units of mbar.,0.06355;6.355e-2;6.355E-2;.06355,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 200 Torr.<br>Give your answer in units of Torr.,600;6e2;6E2,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 56.72 nm.<br>Give your answer in units of nm.,567.2;5.672e2;5.672E2,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 0.13 atm.<br>Give your answer in units of atm.,1.3;1.3e0;1.3E0,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 0.32 ns.<br>Give your answer in units of ns.,0.96;9.6e-1;9.6E-1;.96,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 141.8 kg.<br>Give your answer in units of kg.,1418;1.418e3;1.418E3;1418.,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 700 Pa.<br>Give your answer in units of Pa.,7000;7e3;7E3,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 574.40 W.<br>Give your answer in units of W.,1723.2;1.7232e3;1.7232E3,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 0.0044477 ms.<br>Give your answer in units of ms.,0.044477;4.4477e-2;4.4477E-2;.044477,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 24 kg.<br>Give your answer in units of kg.,240;2.4e2;2.4E2,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 500 bar.<br>Give your answer in units of bar.,5000;5e3;5E3,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 18.48 nm.<br>Give your answer in units of nm.,184.8;1.848e2;1.848E2,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 115.15 kg.<br>Give your answer in units of kg.,345.45;3.4545e2;3.4545E2,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 9 kg.<br>Give your answer in units of kg.,30;3e1;3E1,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 0.0016330 kV.<br>Give your answer in units of kV.,0.016330;1.6330e-2;1.6330E-2;.016330,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 2.8 mM.<br>Give your answer in units of mM.,8.4;8.4e0;8.4E0,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 0.0050437 mbar.<br>Give your answer in units of mbar.,0.050437;5.0437e-2;5.0437E-2;.050437,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 474.4 J.<br>Give your answer in units of J.,4744;4.744e3;4.744E3;4744.,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 0.568 J.<br>Give your answer in units of J.,1.70;1.70e0;1.70E0,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 0.015 atm.<br>Give your answer in units of atm.,0.045;4.5e-2;4.5E-2;.045,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 0.008 L.<br>Give your answer in units of L.,0.08;8e-2;8E-2;.08,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 0.0043 mbar.<br>Give your answer in units of mbar.,0.043;4.3e-2;4.3E-2;.043,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 0.009 h.<br>Give your answer in units of h.,0.03;3e-2;3E-2;.03,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 200 Hz.<br>Give your answer in units of Hz.,2000;2e3;2E3,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 0.003143 atm.<br>Give your answer in units of atm.,0.03143;3.143e-2;3.143E-2;.03143,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 0.29692 mmHg.<br>Give your answer in units of mmHg.,2.9692;2.9692e0;2.9692E0,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 0.00959 km.<br>Give your answer in units of km.,0.0959;9.59e-2;9.59E-2;.0959,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 300 V.<br>Give your answer in units of V.,3000;3e3;3E3,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 2 kcal.<br>Give your answer in units of kcal.,20;2e1;2E1,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 0.0080 M.<br>Give your answer in units of M.,0.024;2.4e-2;2.4E-2;.024,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 3.028 kPa.<br>Give your answer in units of kPa.,30.28;3.028e1;3.028E1,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 40.6 Pa.<br>Give your answer in units of Pa.,122;1.22e2;1.22E2;122.,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 8.75 mA.<br>Give your answer in units of mA.,26.3;2.63e1;2.63E1,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 0.058012 V.<br>Give your answer in units of V.,0.17404;1.7404e-1;1.7404E-1;.17404,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 154.2 kg.<br>Give your answer in units of kg.,462.6;4.626e2;4.626E2,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 0.2712 V.<br>Give your answer in units of V.,2.712;2.712e0;2.712E0,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 126.73 cal.<br>Give your answer in units of cal.,1267.3;1.2673e3;1.2673E3,short_answer
Calculate the limit of detection (LOD) when replicate measurements of a blank gave a standard deviation of 50.675 Hz.<br>Give your answer in units of Hz.,152.02;1.5202e2;1.5202E2,short_answer
Calculate the limit of quantification (LOQ) when replicate measurements of a blank gave a standard deviation of 7 ns.<br>Give your answer in units of ns.,70;7e1;7E1,short_answer
