question,correct_answers,question_type
How many significant figures are in the number 31?,2,short_answer
How many significant figures are in the number 1.39?,3,short_answer
How many significant figures are in the number 0.4561?,4,short_answer
How many significant figures are in the number 3.7?,2,short_answer
How many significant figures are in the number 70?,1,short_answer
How many significant figures are in the number 44920?,4,short_answer
How many significant figures are in the number 86.685?,5,short_answer
How many significant figures are in the number 0.0004428?,4,short_answer
How many significant figures are in the number 54940?,4,short_answer
How many significant figures are in the number 882.02?,5,short_answer
How many significant figures are in the number 0.00057?,2,short_answer
How many significant figures are in the number 0.0084?,2,short_answer
How many significant figures are in the number 0.0347942?,6,short_answer
How many significant figures are in the number 0.0031152?,5,short_answer
How many significant figures are in the number 1635.90?,6,short_answer
How many significant figures are in the number 0.02?,1,short_answer
How many significant figures are in the number 4280?,3,short_answer
How many significant figures are in the number 0.000023218?,5,short_answer
How many significant figures are in the number 0.00002770?,4,short_answer
How many significant figures are in the number 783?,3,short_answer
How many significant figures are in the number 0.28?,2,short_answer
How many significant figures are in the number 2.709?,4,short_answer
How many significant figures are in the number 0.0051410?,5,short_answer
How many significant figures are in the number 0.03?,1,short_answer
How many significant figures are in the number 0.33962?,5,short_answer
How many significant figures are in the number 40000?,1,short_answer
How many significant figures are in the number 0.000052?,2,short_answer
How many significant figures are in the number 0.0011?,2,short_answer
How many significant figures are in the number 0.05951?,4,short_answer
How many significant figures are in the number 171?,3,short_answer
How many significant figures are in the number 2?,1,short_answer
How many significant figures are in the number 7800?,2,short_answer
How many significant figures are in the number 1378?,4,short_answer
How many significant figures are in the number 50000?,1,short_answer
How many significant figures are in the number 30.06?,4,short_answer
How many significant figures are in the number 10000?,1,short_answer
How many significant figures are in the number 0.0477621?,6,short_answer
How many significant figures are in the number 297.81?,5,short_answer
How many significant figures are in the number 46935?,5,short_answer
How many significant figures are in the number 150?,2,short_answer
How many significant figures are in the number 52.1?,3,short_answer
How many significant figures are in the number 790000?,2,short_answer
How many significant figures are in the number 6.41?,3,short_answer
How many significant figures are in the number 2201.85?,6,short_answer
How many significant figures are in the number 0.245334?,6,short_answer
How many significant figures are in the number 0.079?,2,short_answer
How many significant figures are in the number 0.015811?,5,short_answer
How many significant figures are in the number 7.72?,3,short_answer
How many significant figures are in the number 1861.22?,6,short_answer
How many significant figures are in the number 1?,1,short_answer
How many significant figures are in the number 956000?,3,short_answer
How many significant figures are in the number 373.665?,6,short_answer
How many significant figures are in the number 0.83?,2,short_answer
How many significant figures are in the number 0.000067727?,5,short_answer
How many significant figures are in the number 0.150209?,6,short_answer
How many significant figures are in the number 279.30?,5,short_answer
How many significant figures are in the number 0.00051?,2,short_answer
How many significant figures are in the number 20000?,1,short_answer
How many significant figures are in the number 0.0025583?,5,short_answer
How many significant figures are in the number 2000?,1,short_answer
How many significant figures are in the number 36.53?,4,short_answer
How many significant figures are in the number 0.000084?,2,short_answer
How many significant figures are in the number 895734?,6,short_answer
How many significant figures are in the number 0.00132?,3,short_answer
How many significant figures are in the number 469140?,5,short_answer
How many significant figures are in the number 0.0001743?,4,short_answer
How many significant figures are in the number 0.000270?,3,short_answer
How many significant figures are in the number 86.5?,3,short_answer
How many significant figures are in the number 0.0013806?,5,short_answer
How many significant figures are in the number 1952?,4,short_answer
How many significant figures are in the number 0.08?,1,short_answer
How many significant figures are in the number 600000?,1,short_answer
How many significant figures are in the number 0.00535223?,6,short_answer
How many significant figures are in the number 0.000382?,3,short_answer
How many significant figures are in the number 300?,1,short_answer
How many significant figures are in the number 0.2?,1,short_answer
How many significant figures are in the number 0.9?,1,short_answer
How many significant figures are in the number 0.032859?,5,short_answer
How many significant figures are in the number 21?,2,short_answer
How many significant figures are in the number 0.3756?,4,short_answer
How many significant figures are in the number 0.025?,2,short_answer
How many significant figures are in the number 16398?,5,short_answer
How many significant figures are in the number 20?,1,short_answer
How many significant figures are in the number 0.000214964?,6,short_answer
How many significant figures are in the number 110730?,5,short_answer
How many significant figures are in the number 3000?,1,short_answer
How many significant figures are in the number 66.8?,3,short_answer
How many significant figures are in the number 3811?,4,short_answer
How many significant figures are in the number 2000?,1,short_answer
How many significant figures are in the number 102.7?,4,short_answer
How many significant figures are in the number 0.014217?,5,short_answer
How many significant figures are in the number 0.0007?,1,short_answer
How many significant figures are in the number 0.3?,1,short_answer
How many significant figures are in the number 1378?,4,short_answer
How many significant figures are in the number 35899.8?,6,short_answer
How many significant figures are in the number 0.0215642?,6,short_answer
How many significant figures are in the number 1.72?,3,short_answer
How many significant figures are in the number 0.15?,2,short_answer
How many significant figures are in the number 79.4?,3,short_answer
How many significant figures are in the number 144.28?,5,short_answer
How many significant figures are in the number 0.0374?,3,short_answer
How many significant figures are in the number 0.12?,2,short_answer
How many significant figures are in the number 38800?,3,short_answer
How many significant figures are in the number 0.424927?,6,short_answer
How many significant figures are in the number 0.002?,1,short_answer
How many significant figures are in the number 200?,1,short_answer
How many significant figures are in the number 0.0157?,3,short_answer
How many significant figures are in the number 0.107?,3,short_answer
How many significant figures are in the number 540000?,2,short_answer
How many significant figures are in the number 32820.?,5,short_answer
How many significant figures are in the number 0.00830166?,6,short_answer
How many significant figures are in the number 0.003?,1,short_answer
How many significant figures are in the number 0.0002713?,4,short_answer
How many significant figures are in the number 0.284559?,6,short_answer
How many significant figures are in the number 0.0000718?,3,short_answer
How many significant figures are in the number 0.00622?,3,short_answer
How many significant figures are in the number 4.52724?,6,short_answer
How many significant figures are in the number 13990?,4,short_answer
How many significant figures are in the number 0.1?,1,short_answer
How many significant figures are in the number 7100?,2,short_answer
How many significant figures are in the number 0.00100694?,6,short_answer
How many significant figures are in the number 0.002?,1,short_answer
How many significant figures are in the number 5090?,3,short_answer
How many significant figures are in the number 0.00001632?,4,short_answer
How many significant figures are in the number 761.2?,4,short_answer
How many significant figures are in the number 3.60 x 10<sup>3</sup>?,3,short_answer
How many significant figures are in the number 0.75?,2,short_answer
How many significant figures are in the number 0.000963654?,6,short_answer
How many significant figures are in the number 3000?,1,short_answer
How many significant figures are in the number 0.00533?,3,short_answer
How many significant figures are in the number 30000?,1,short_answer
How many significant figures are in the number 0.02?,1,short_answer
How many significant figures are in the number 0.017817?,5,short_answer
How many significant figures are in the number 86.3?,3,short_answer
How many significant figures are in the number 0.00003?,1,short_answer
How many significant figures are in the number 0.00002104?,4,short_answer
How many significant figures are in the number 0.1838?,4,short_answer
How many significant figures are in the number 56.8?,3,short_answer
How many significant figures are in the number 0.00919?,3,short_answer
How many significant figures are in the number 0.00040180?,5,short_answer
How many significant figures are in the number 3?,1,short_answer
How many significant figures are in the number 2.95783?,6,short_answer
How many significant figures are in the number 0.0057537?,5,short_answer
How many significant figures are in the number 0.000028?,2,short_answer
