question,correct_answers,question_type
How many significant figures are in the number 573990.?,6,short_answer
How many significant figures are in the number 30940?,4,short_answer
How many significant figures are in the number 700000?,1,short_answer
How many significant figures are in the number 0.003300?,4,short_answer
How many significant figures are in the number 0.000097?,2,short_answer
How many significant figures are in the number 9590.?,4,short_answer
How many significant figures are in the number 0.00060?,2,short_answer
How many significant figures are in the number 701410?,5,short_answer
How many significant figures are in the number 398600?,4,short_answer
How many significant figures are in the number 0.00401441?,6,short_answer
How many significant figures are in the number 56000?,2,short_answer
How many significant figures are in the number 31120?,4,short_answer
How many significant figures are in the number 797990?,5,short_answer
How many significant figures are in the number 0.00122?,3,short_answer
How many significant figures are in the number 9680?,3,short_answer
How many significant figures are in the number 0.0145?,3,short_answer
How many significant figures are in the number 0.0015580?,5,short_answer
How many significant figures are in the number 50.?,2,short_answer
How many significant figures are in the number 10?,1,short_answer
How many significant figures are in the number 0.0192017?,6,short_answer
How many significant figures are in the number 0.0008580?,4,short_answer
How many significant figures are in the number 0.00002256?,4,short_answer
How many significant figures are in the number 360?,2,short_answer
How many significant figures are in the number 111520?,5,short_answer
How many significant figures are in the number 0.031?,2,short_answer
How many significant figures are in the number 717.240?,6,short_answer
How many significant figures are in the number 84540?,4,short_answer
How many significant figures are in the number 347000?,3,short_answer
How many significant figures are in the number 0.00001?,1,short_answer
How many significant figures are in the number 200000?,1,short_answer
How many significant figures are in the number 0.00050?,2,short_answer
How many significant figures are in the number 360?,2,short_answer
How many significant figures are in the number 530?,2,short_answer
How many significant figures are in the number 0.000029772?,5,short_answer
How many significant figures are in the number 0.00407?,3,short_answer
How many significant figures are in the number 24900?,3,short_answer
How many significant figures are in the number 0.0002560?,4,short_answer
How many significant figures are in the number 0.002?,1,short_answer
How many significant figures are in the number 54000?,2,short_answer
How many significant figures are in the number 0.00027?,2,short_answer
How many significant figures are in the number 5944.90?,6,short_answer
How many significant figures are in the number 551000?,3,short_answer
How many significant figures are in the number 0.49?,2,short_answer
How many significant figures are in the number 20?,1,short_answer
How many significant figures are in the number 0.00028?,2,short_answer
How many significant figures are in the number 0.27072?,5,short_answer
How many significant figures are in the number 0.0290091?,6,short_answer
How many significant figures are in the number 7510?,3,short_answer
How many significant figures are in the number 100?,1,short_answer
How many significant figures are in the number 0.00009?,1,short_answer
How many significant figures are in the number 4000?,1,short_answer
How many significant figures are in the number 500?,1,short_answer
How many significant figures are in the number 190?,2,short_answer
How many significant figures are in the number 0.000708798?,6,short_answer
How many significant figures are in the number 0.0403?,3,short_answer
How many significant figures are in the number 10700?,3,short_answer
How many significant figures are in the number 10?,1,short_answer
How many significant figures are in the number 185150?,5,short_answer
How many significant figures are in the number 100?,1,short_answer
How many significant figures are in the number 361200?,4,short_answer
How many significant figures are in the number 0.0013?,2,short_answer
How many significant figures are in the number 2840?,3,short_answer
How many significant figures are in the number 3000?,1,short_answer
How many significant figures are in the number 0.0001070?,4,short_answer
How many significant figures are in the number 2390?,3,short_answer
How many significant figures are in the number 110000?,2,short_answer
How many significant figures are in the number 0.00014?,2,short_answer
How many significant figures are in the number 8300?,2,short_answer
How many significant figures are in the number 0.00210?,3,short_answer
How many significant figures are in the number 32.0?,3,short_answer
