question,correct_answers,question_type
Convert 1.72x10<sup>5</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,2.67e4;200,numerical_tolerance
"Rewrite 7.93x10<sup>5</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",1.23e5;2000,numerical_tolerance
"Rewrite 1.1x10<sup>6</sup> m<sup>2</sup> in units of mi<sup>2</sup>, given that there are 1609.34 m per mi.",0.42;0.02,numerical_tolerance
"Rewrite 7.0x10<sup>7</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",1.1e7;2000000,numerical_tolerance
Convert the following to ft<sup>2</sup>: 1.3x10<sup>6</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,14;2,numerical_tolerance
Convert the following to mi<sup>2</sup>: 7.7x10<sup>7</sup> m<sup>2</sup><br>There are 1609.34 m in one mi.,30.;2,numerical_tolerance
Convert 7.7x10<sup>6</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,1.2e6;200000,numerical_tolerance
A square has an area of 1.29x10<sup>7</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,139;2,numerical_tolerance
Convert the following to ft<sup>2</sup>: 1.5x10<sup>5</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,1.6;0.2,numerical_tolerance
A square has an area of 5.1x10<sup>6</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,2.0;0.2,numerical_tolerance
Convert 1.26x10<sup>7</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,4.86;0.02,numerical_tolerance
Convert the following to ft<sup>2</sup>: 2.16x10<sup>7</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,233;2,numerical_tolerance
"Rewrite 2.93x10<sup>7</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",315;2,numerical_tolerance
Convert 2.99x10<sup>7</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,4.63e6;20000,numerical_tolerance
Convert 3.5x10<sup>7</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,14;2,numerical_tolerance
Convert 3.7x10<sup>6</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,1.4;0.2,numerical_tolerance
Convert the following to mi<sup>2</sup>: 7.03x10<sup>6</sup> m<sup>2</sup><br>There are 1609.34 m in one mi.,2.71;0.02,numerical_tolerance
"Rewrite 2.24x10<sup>5</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",3.47e4;200,numerical_tolerance
"Rewrite 3.5x10<sup>5</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",3.8;0.2,numerical_tolerance
A square has an area of 1.6x10<sup>5</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,1.7;0.2,numerical_tolerance
Convert the following to in<sup>2</sup>: 4.6x10<sup>6</sup> cm<sup>2</sup><br>There are 2.54 cm in one in.,7.1e5;20000,numerical_tolerance
Convert 4.07x10<sup>6</sup> mm<sup>2</sup> to ft<sup>2</sup>. There are 304.8 mm in one ft.,43.8;0.2,numerical_tolerance
"Rewrite 5.30x10<sup>5</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",8.22e4;200,numerical_tolerance
"Rewrite 2.59x10<sup>6</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",27.9;0.2,numerical_tolerance
A square has an area of 6.87x10<sup>7</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,739;2,numerical_tolerance
"Rewrite 8.1x10<sup>7</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",1.3e7;2000000,numerical_tolerance
Convert the following to ft<sup>2</sup>: 4.4x10<sup>7</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,470;20,numerical_tolerance
Convert the following to ft<sup>2</sup>: 1.5x10<sup>5</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,1.6;0.2,numerical_tolerance
"Rewrite 4.8x10<sup>7</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",7.4e6;200000,numerical_tolerance
Convert the following to ft<sup>2</sup>: 1.7x10<sup>7</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,180;20,numerical_tolerance
Convert the following to ft<sup>2</sup>: 1.96x10<sup>5</sup> mm<sup>2</sup><br>There are 304.8 mm in one ft.,2.11;0.02,numerical_tolerance
A square has an area of 2.39x10<sup>6</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,0.923;0.002,numerical_tolerance
Convert the following to mi<sup>2</sup>: 8.8x10<sup>7</sup> m<sup>2</sup><br>There are 1609.34 m in one mi.,34;2,numerical_tolerance
"Rewrite 1.4x10<sup>6</sup> cm<sup>2</sup> in units of in<sup>2</sup>, given that there are 2.54 cm per in.",2.2e5;20000,numerical_tolerance
A square has an area of 3.3x10<sup>7</sup> mm<sup>2</sup>. There are 304.8 mm in one ft. What is the area of the square in ft<sup>2</sup>?,360;20,numerical_tolerance
Convert 1.79x10<sup>5</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,0.0691;0.0002,numerical_tolerance
Convert 4.1x10<sup>6</sup> m<sup>2</sup> to mi<sup>2</sup>. There are 1609.34 m in one mi.,1.6;0.2,numerical_tolerance
"Rewrite 4.22x10<sup>5</sup> mm<sup>2</sup> in units of ft<sup>2</sup>, given that there are 304.8 mm per ft.",4.54;0.02,numerical_tolerance
A square has an area of 7.7x10<sup>6</sup> m<sup>2</sup>. There are 1609.34 m in one mi. What is the area of the square in mi<sup>2</sup>?,3.0;0.2,numerical_tolerance
Convert the following to in<sup>2</sup>: 4.60x10<sup>5</sup> cm<sup>2</sup><br>There are 2.54 cm in one in.,7.13e4;200,numerical_tolerance
Convert 8.3x10<sup>5</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,1.3e5;20000,numerical_tolerance
Convert the following to mi<sup>2</sup>: 9.2x10<sup>7</sup> m<sup>2</sup><br>There are 1609.34 m in one mi.,36;2,numerical_tolerance
Convert 1.1x10<sup>6</sup> cm<sup>2</sup> to in<sup>2</sup>. There are 2.54 cm in one in.,1.7e5;20000,numerical_tolerance
