question,correct_answers,question_type
"Calculate the 99.9 % confidence interval for the following measurement.<br>3.7 ± 0.4 K, n = 10<br>Use the ± symbol in your answer.",3.7 ± 0.6;3.7±0.6;3.7e0 ± 6e-1;3.7e0±6e-1,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>120 ± 30 ms, n = 15<br>Use the ± symbol in your answer.",120 ± 20;120±20;1.2e2 ± 2e1;1.2e2±2e1,short_answer
"Is the value 15 Hz in the 99 % confidence interval for the following measurement?<br>11 ± 5 Hz, n = 20",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.17 ± 0.06 cal, n = 8<br>Use the ± symbol in your answer.",0.17 ± 0.02;0.17±0.02;1.7e-1 ± 2e-2;1.7e-1±2e-2,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>2.5e3 ± 3e2 s, n = 7<br>Use the ± symbol in your answer.",2500 ± 200;2500±200;2.5e3 ± 2e2;2.5e3±2e2,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>51.7 ± 0.5 mL, n = 9<br>Use the ± symbol in your answer.",51.7 ± 0.3;51.7±0.3;5.17e1 ± 3e-1;5.17e1±3e-1,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>5e3 ± 2e3 m, n = 30<br>Use the ± symbol in your answer.",5.0e3 ± 200;5.0e3±200;5.0e3 ± 2e2;5.0e3±2e2,short_answer
"Is the value 180 ms in the 50 % confidence interval for the following measurement?<br>2.0e2 ± 90 ms, n = 25",No;no;N;n,short_answer
"Is the value 28 cal in the 95 % confidence interval for the following measurement?<br>23 ± 11 cal, n = 20",No;no;N;n,short_answer
"Is the value 32 A in the 99 % confidence interval for the following measurement?<br>24 ± 6 A, n = 9",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 1.4 K at the 99 % confidence level?<br>0.72 ± 0.14 K, n = 3",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.054 ± 0.014 yr, n = 20<br>Use the ± symbol in your answer.",0.054 ± 0.012;0.054±0.012;5.4e-2 ± 1.2e-2;5.4e-2±1.2e-2,short_answer
"Is the value 3400 N in the 50 % confidence interval for the following measurement?<br>3.3e3 ± 3e2 N, n = 3",Yes;yes;Y;y,short_answer
"Is the value 0.30 nm in the 95 % confidence interval for the following measurement?<br>0.28 ± 0.09 nm, n = 120",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 0.14 cal at the 95 % confidence level?<br>0.13 ± 0.03 cal, n = 30",Yes;yes;Y;y,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>2.4 ± 0.8 N, n = 7<br>Use the ± symbol in your answer.",2.4 ± 0.6;2.4±0.6;2.4e0 ± 6e-1;2.4e0±6e-1,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>1.2 ± 0.2 mA, n = 25<br>Use the ± symbol in your answer.",1.20 ± 0.03;1.20±0.03;1.20e0 ± 3e-2;1.20e0±3e-2,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.048 ± 0.013 N, n = 3<br>Use the ± symbol in your answer.",0.0 ± 0.2;0.0±0.2;0e-55 ± 2e-1;0e-55±2e-1,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>142 ± 3 bar, n = 6<br>Use the ± symbol in your answer.",142 ± 2;142±2;1.42e2 ± 2e0;1.42e2±2e0,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.08 ± 0.02 yr, n = 30<br>Use the ± symbol in your answer.",0.080 ± 0.002;0.080±0.002;8.0e-2 ± 2e-3;8.0e-2±2e-3,short_answer
"Is the value 9000 mbar in the 95 % confidence interval for the following measurement?<br>7e3 ± 2e3 mbar, n = 9",No;no;N;n,short_answer
"Is the value 1.2e5 mM in the 99.9 % confidence interval for the following measurement?<br>800 ± 200 mM, n = 1",Yes;yes;Y;y,short_answer
"Is the value 2.5 mmHg in the 99 % confidence interval for the following measurement?<br>1.9 ± 0.8 mmHg, n = 20",No;no;N;n,short_answer
"Is the value 2.2 cal in the 50 % confidence interval for the following measurement?<br>2.0 ± 0.5 cal, n = 5",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 1.0 L at the 50 % confidence level?<br>1.0 ± 0.4 L, n = 60",Yes;yes;Y;y,short_answer
"Is the value 430 km in the 99 % confidence interval for the following measurement?<br>450 ± 80 km, n = 40",Yes;yes;Y;y,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.8 ± 0.3 kV, n = 8<br>Use the ± symbol in your answer.",0.80 ± 0.08;0.80±0.08;8.0e-1 ± 8e-2;8.0e-1±8e-2,short_answer
