question,correct_answers,question_type
"What element is shown below?<br><mattext texttype=""text/html""><img src=""$IMS-CC-FILEBASE$/Uploaded%20Media/9e36809cf6756afb777acbbe43f6874e420d70123ed5b6574d6d3f033e5ea7c8.png"" alt=""9e36809cf6756afb777acbbe43f6874e420d70123ed5b6574d6d3f033e5ea7c8.png""></mattext>",Lithium;lithium;Li,short_answer
"What element is shown below?<br><mattext texttype=""text/html""><img src=""$IMS-CC-FILEBASE$/Uploaded%20Media/e8c6fe10fed54c01a89d0a0a84dd3d43e0e5f1db7a207b6173579c7a89f0038a.png"" alt=""e8c6fe10fed54c01a89d0a0a84dd3d43e0e5f1db7a207b6173579c7a89f0038a.png""></mattext>",Neon;neon;Ne,short_answer
"What element is shown below?<br><mattext texttype=""text/html""><img src=""$IMS-CC-FILEBASE$/Uploaded%20Media/2be07fcd4bd7c4ed2d5c7b1f06630d10095089b86c25f10eac1643d31e6b6a57.png"" alt=""2be07fcd4bd7c4ed2d5c7b1f06630d10095089b86c25f10eac1643d31e6b6a57.png""></mattext>",Magnesium;magnesium;Mg,short_answer
"What is the chemical symbol for the element shown in the figure?,<br><mattext texttype=""text/html""><img src=""$IMS-CC-FILEBASE$/Uploaded%20Media/9e2ca3d8445b1d2bca020f1920b2f3827ca08aeb1c7c8c3dc4c559b168e68087.png"" alt=""9e2ca3d8445b1d2bca020f1920b2f3827ca08aeb1c7c8c3dc4c559b168e68087.png""></mattext>",N,short_answer
"What element is shown below?<br><mattext texttype=""text/html""><img src=""$IMS-CC-FILEBASE$/Uploaded%20Media/9e36809cf6756afb777acbbe43f6874e420d70123ed5b6574d6d3f033e5ea7c8.png"" alt=""9e36809cf6756afb777acbbe43f6874e420d70123ed5b6574d6d3f033e5ea7c8.png""></mattext>",Lithium;lithium;Li,short_answer
"What element is shown below?<br><mattext texttype=""text/html""><img src=""$IMS-CC-FILEBASE$/Uploaded%20Media/cbe2701f7c7762728279b649e8ec19857ad134b6e15b5a2c43fe4c9f0d29fdd4.png"" alt=""cbe2701f7c7762728279b649e8ec19857ad134b6e15b5a2c43fe4c9f0d29fdd4.png""></mattext>",Helium;helium;He,short_answer
"What is the chemical symbol for the element shown in the figure?,<br><mattext texttype=""text/html""><img src=""$IMS-CC-FILEBASE$/Uploaded%20Media/a921eeedc8c29ecd667e56bf4a4255c54f7bbb531fff9dfe8566fac9a6981705.png"" alt=""a921eeedc8c29ecd667e56bf4a4255c54f7bbb531fff9dfe8566fac9a6981705.png""></mattext>",H,short_answer
"What is the chemical symbol for the element shown in the figure?,<br><mattext texttype=""text/html""><img src=""$IMS-CC-FILEBASE$/Uploaded%20Media/d24dd664222a73ef4155897d9f434716f0ea737ecfad2fa4de6cad310135c921.png"" alt=""d24dd664222a73ef4155897d9f434716f0ea737ecfad2fa4de6cad310135c921.png""></mattext>",O,short_answer
"What is the chemical symbol for the element shown in the figure?,<br><mattext texttype=""text/html""><img src=""$IMS-CC-FILEBASE$/Uploaded%20Media/91ce60c07767c8c5d1609a81030747f3d117d49ed19b4ffc52790085045e5d6d.png"" alt=""91ce60c07767c8c5d1609a81030747f3d117d49ed19b4ffc52790085045e5d6d.png""></mattext>",H,short_answer
"What element is shown below?<br><mattext texttype=""text/html""><img src=""$IMS-CC-FILEBASE$/Uploaded%20Media/b21c03eeb4a4fb569c90fb29221ffb82437758300f53dbff660bf44b5aaaa39a.png"" alt=""b21c03eeb4a4fb569c90fb29221ffb82437758300f53dbff660bf44b5aaaa39a.png""></mattext>",Boron;boron;B,short_answer
"What element is shown below?<br><mattext texttype=""text/html""><img src=""$IMS-CC-FILEBASE$/Uploaded%20Media/5fcd55fce2ab2609fd779af6d22c7116a4dec3a184b192e5c122101879ab777c.png"" alt=""5fcd55fce2ab2609fd779af6d22c7116a4dec3a184b192e5c122101879ab777c.png""></mattext>",Fluorine;fluorine;F,short_answer
"What is the chemical symbol for the element shown in the figure?,<br><mattext texttype=""text/html""><img src=""$IMS-CC-FILEBASE$/Uploaded%20Media/9e2ca3d8445b1d2bca020f1920b2f3827ca08aeb1c7c8c3dc4c559b168e68087.png"" alt=""9e2ca3d8445b1d2bca020f1920b2f3827ca08aeb1c7c8c3dc4c559b168e68087.png""></mattext>",N,short_answer
