question,correct_answers,question_type
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 1.769 V<br>n = 2<br>T = 300. K<br>Q = 0.00346,1.842;1.842e0;1.842E0;1.84;1.84e0;1.84E0;1.8422;1.8422e0;1.8422E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 1.375 V<br>n = 2<br>T = 298 K<br>Q = 19,1.337;1.337e0;1.337E0;1.34;1.34e0;1.34E0;1.3372;1.3372e0;1.3372E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 0.28 V<br>n = 3<br>T = 283.2 K<br>Q = 9860,0.21;2.1e-1;2.1E-1;.21;0.2;2e-1;2E-1;.2;0.205;2.05e-1;2.05E-1;.205,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 1.8 V<br>n = 2<br>T = 301 K<br>Q = 2e-4,1.9;1.9e0;1.9E0;2;2e0;2E0;2.;1.91;1.91e0;1.91E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = -0.994 V<br>n = 2<br>T = 287 K<br>Q = 0.02935,-0.950;-9.50e-1;-9.50E-1;.950;-0.95;-9.5e-1;-9.5E-1;.95;-0.9504;-9.504e-1;-9.504E-1;.9504,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 0.061 V<br>n = 3<br>T = 285 K<br>Q = 68.97,0.026;2.6e-2;2.6E-2;.026;0.03;3e-2;3E-2;.03;0.0263;2.63e-2;2.63E-2;.0263,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = -0.93 V<br>n = 3<br>T = 301.0 K<br>Q = 0.014,-0.89;-8.9e-1;-8.9E-1;.89;-0.9;-9e-1;-9E-1;.9;-0.893;-8.93e-1;-8.93E-1;.893,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 2.6 V<br>n = 3<br>T = 294 K<br>Q = 0.00318,2.6;2.6e0;2.6E0;3;3e0;3E0;3.;2.65;2.65e0;2.65E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 0.35 V<br>n = 1<br>T = 288.8 K<br>Q = 2.6e4,0.10;1.0e-1;1.0E-1;.10;0.097;9.7e-2;9.7E-2;.097,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = -0.659 V<br>n = 2<br>T = 284 K<br>Q = 0.024,-0.613;-6.13e-1;-6.13E-1;.613;-0.61;-6.1e-1;-6.1E-1;.61;-0.6134;-6.134e-1;-6.134E-1;.6134,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 1.878 V<br>n = 3<br>T = 289 K<br>Q = 5000,1.807;1.807e0;1.807E0;1.81;1.81e0;1.81E0;1.8073;1.8073e0;1.8073E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = -0.36 V<br>n = 1<br>T = 297.5 K<br>Q = 3.19e-4,-0.15;-1.5e-1;-1.5E-1;.15;-0.2;-2e-1;-2E-1;.2;-0.154;-1.54e-1;-1.54E-1;.154,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 0.563 V<br>n = 3<br>T = 298.1 K<br>Q = 0.003123,0.612;6.12e-1;6.12E-1;.612;0.61;6.1e-1;6.1E-1;.61;0.6124;6.124e-1;6.124E-1;.6124,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = -0.164 V<br>n = 3<br>T = 300.4 K<br>Q = 150,-0.207;-2.07e-1;-2.07E-1;.207;-0.21;-2.1e-1;-2.1E-1;.21;-0.2072;-2.072e-1;-2.072E-1;.2072,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 0.70 V<br>n = 3<br>T = 300.1 K<br>Q = 2e-5,0.79;7.9e-1;7.9E-1;.79;0.8;8e-1;8E-1;.8;0.793;7.93e-1;7.93E-1;.793,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 1.56 V<br>n = 1<br>T = 292.4 K<br>Q = 4.4,1.52;1.52e0;1.52E0;1.5;1.5e0;1.5E0;1.523;1.523e0;1.523E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = -0.1376 V<br>n = 1<br>T = 282.3 K<br>Q = 19.13,-0.2094;-2.094e-1;-2.094E-1;.2094;-0.209;-2.09e-1;-2.09E-1;.209;-0.20939;-2.0939e-1;-2.0939E-1;.20939,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 2.14 V<br>n = 1<br>T = 304 K<br>Q = 100,2.02;2.02e0;2.02E0;2.0;2.0e0;2.0E0;2.019;2.019e0;2.019E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 2.444 V<br>n = 3<br>T = 296 K<br>Q = 592,2.390;2.390e0;2.390E0;2.39;2.39e0;2.39E0;2.3897;2.3897e0;2.3897E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 0.82 V<br>n = 1<br>T = 282.2 K<br>Q = 0.7,0.83;8.3e-1;8.3E-1;.83;0.8;8e-1;8E-1;.8;0.829;8.29e-1;8.29E-1;.829,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 0.717 V<br>n = 1<br>T = 289.6 K<br>Q = 9000,0.49;4.9e-1;4.9E-1;.49;0.5;5e-1;5E-1;.5;0.490;4.90e-1;4.90E-1;.490,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 1.7 V<br>n = 2<br>T = 289 K<br>Q = 0.235,1.7;1.7e0;1.7E0;2;2e0;2E0;2.;1.72;1.72e0;1.72E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 1.87 V<br>n = 3<br>T = 299 K<br>Q = 8,1.85;1.85e0;1.85E0;1.9;1.9e0;1.9E0;1.852;1.852e0;1.852E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = -0.2926 V<br>n = 1<br>T = 296 K<br>Q = 0.0039,-0.151;-1.51e-1;-1.51E-1;.151;-0.15;-1.5e-1;-1.5E-1;.15;-0.1511;-1.511e-1;-1.511E-1;.1511,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = -0.24 V<br>n = 3<br>T = 297 K<br>Q = 2e-4,-0.17;-1.7e-1;-1.7E-1;.17;-0.2;-2e-1;-2E-1;.2;-0.167;-1.67e-1;-1.67E-1;.167,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 1.2 V<br>n = 3<br>T = 283.5 K<br>Q = 4e-4,1.3;1.3e0;1.3E0;1;1e0;1E0;1.;1.26;1.26e0;1.26E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 0.9538 V<br>n = 1<br>T = 289.0 K<br>Q = 8e-5,1.19;1.19e0;1.19E0;1.2;1.2e0;1.2E0;1.189;1.189e0;1.189E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 0.8484 V<br>n = 2<br>T = 283.4 K<br>Q = 200,0.784;7.84e-1;7.84E-1;.784;0.78;7.8e-1;7.8E-1;.78;0.7837;7.837e-1;7.837E-1;.7837,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 0.64 V<br>n = 2<br>T = 303 K<br>Q = 83.7,0.58;5.8e-1;5.8E-1;.58;0.6;6e-1;6E-1;.6;0.582;5.82e-1;5.82E-1;.582,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 2.6 V<br>n = 3<br>T = 285.9 K<br>Q = 1.37,2.6;2.6e0;2.6E0;3;3e0;3E0;3.;2.60;2.60e0;2.60E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 1.62 V<br>n = 3<br>T = 298 K<br>Q = 2.22e4,1.53;1.53e0;1.53E0;1.5;1.5e0;1.5E0;1.534;1.534e0;1.534E0,short_answer
Calculate the potential for the following galvanic cell under non-standard conditions.<br>Eo = 2.087 V<br>n = 2<br>T = 287 K<br>Q = 1280,1.999;1.999e0;1.999E0;2.00;2.00e0;2.00E0;1.9985;1.9985e0;1.9985E0,short_answer
