question,correct_answers,question_type
Convert 3.4476 psi to cbar. There are 14.504 psi in one bar.,23.77;0.11885,numerical_tolerance
Convert 0.124 mi to cm. There are 1609.3 m in one mi.,19956;99.779,numerical_tolerance
Convert 1.399 mi to nm. There are 1609.3 m in one mi.,2.2515e+12;1.1257e+10,numerical_tolerance
Convert 0.003148 ft to nmi. There are 5280 ft in one mi.,596.21;2.9811,numerical_tolerance
Convert 0.02891 hr to cs. There are 3600 s in one hr.,10408;52.038,numerical_tolerance
Convert 0.05149 s to nhr. There are 3600 s in one hr.,14303;71.514,numerical_tolerance
Convert 117 m to mft. There are 3.2808 ft in one m.,3.8386e+05;1919.3,numerical_tolerance
Convert 9.633 Ggal to GL. There are 3.7854 L in one gal.,36.465;0.18232,numerical_tolerance
Convert 193 cal to nJ. There are 4.184 J in one cal.,8.0751e+11;4.0376e+09,numerical_tolerance
Convert 10.1 psi to µbar. There are 14.504 psi in one bar.,6.9637e+05;3481.9,numerical_tolerance
Convert 0.38549 Mm to cmi. There are 1609.3 m in one mi.,23953;119.77,numerical_tolerance
Convert 1.4993 gal to nL. There are 3.7854 L in one gal.,5.6755e+09;2.8377e+07,numerical_tolerance
Convert 1.017 mmHg to nTorr. There are 1 mmHg in one Torr.,1.017e+09;5.085e+06,numerical_tolerance
Convert 0.00101 oz to µg. There are 28.349 g in one oz.,28633;143.16,numerical_tolerance
Convert 244 J to ncal. There are 4.184 J in one cal.,5.8317e+10;2.9159e+08,numerical_tolerance
Convert 12.59 Ms to kday. There are 8.64e4 s in one day.,0.14572;0.00072859,numerical_tolerance
Convert 0.03138 mi to µft. There are 5280 ft in one mi.,1.6569e+08;8.2843e+05,numerical_tolerance
Convert 1.4286 g to µoz. There are 28.349 g in one oz.,50392;251.96,numerical_tolerance
Convert 0.3185 hr to µday. There are 24 hr in one day.,13271;66.354,numerical_tolerance
Convert 17.09 Torr to mpsi. There are 51.715 Torr in one psi.,330.46;1.6523,numerical_tolerance
Convert 0.741 ft to cmi. There are 5280 ft in one mi.,0.014034;7.0171e-05,numerical_tolerance
Convert 21.342 J to ncal. There are 4.184 J in one cal.,5.1009e+09;2.5504e+07,numerical_tolerance
Convert 157.40 Goz to cg. There are 28.349 g in one oz.,4.4622e+14;2.2311e+12,numerical_tolerance
Convert 0.06557 mi to cft. There are 5280 ft in one mi.,34621;173.1,numerical_tolerance
Convert 0.001961 Mft to mm. There are 3.2808 ft in one m.,5.9771e+05;2988.6,numerical_tolerance
Convert 399.7 J to ncal. There are 4.184 J in one cal.,9.5531e+10;4.7765e+08,numerical_tolerance
Convert 2.9648 Gg to Moz. There are 28.349 g in one oz.,104.58;0.5229,numerical_tolerance
Convert 93.1 J to ncal. There are 4.184 J in one cal.,2.2251e+10;1.1126e+08,numerical_tolerance
Convert 0.02005 lb to coz. There are 16 oz in one lb.,32.08;0.1604,numerical_tolerance
Convert 527 min to µday. There are 1440 min in one day.,3.6597e+05;1829.9,numerical_tolerance
Convert 0.00135 J to mcal. There are 4.184 J in one cal.,0.32266;0.0016133,numerical_tolerance
Convert 0.002036 nmi to nft. There are 5280 ft in one mi.,10.75;0.05375,numerical_tolerance
Convert 33.275 atm to µmmHg. There are 760 mmHg in one atm.,2.5289e+10;1.2645e+08,numerical_tolerance
Convert 3.8163 kJ to kcal. There are 4.184 J in one cal.,0.91212;0.0045606,numerical_tolerance
Convert 0.0791 J to µcal. There are 4.184 J in one cal.,18905;94.527,numerical_tolerance
Convert 14.8 hr to mday. There are 24 hr in one day.,616.67;3.0833,numerical_tolerance
Convert 25.2 Torr to nPa. There are 133.32 Pa in one Torr.,3.3597e+12;1.6799e+10,numerical_tolerance
Convert 6.3648 g to moz. There are 28.349 g in one oz.,224.51;1.1226,numerical_tolerance
Convert 7.64 mi to nft. There are 5280 ft in one mi.,4.0339e+13;2.017e+11,numerical_tolerance
Convert 0.287 psi to µmmHg. There are 51.715 mmHg in one psi.,1.4842e+07;74211,numerical_tolerance
Convert 53.52 mi to nft. There are 5280 ft in one mi.,2.8258e+14;1.4129e+12,numerical_tolerance
Convert 0.43754 oz to clb. There are 16 oz in one lb.,2.7346;0.013673,numerical_tolerance
Convert 95.152 µL to ngal. There are 3.7854 L in one gal.,25137;125.68,numerical_tolerance
Convert 613.18 Gg to koz. There are 28.349 g in one oz.,2.1629e+07;1.0815e+05,numerical_tolerance
Convert 0.57466 L to mgal. There are 3.7854 L in one gal.,151.81;0.75905,numerical_tolerance
Convert 284.4 Gg to moz. There are 28.349 g in one oz.,1.0032e+13;5.016e+10,numerical_tolerance
Convert 177.7 Gcal to mJ. There are 4.184 J in one cal.,7.435e+14;3.7175e+12,numerical_tolerance
Convert 809.35 GJ to µcal. There are 4.184 J in one cal.,1.9344e+17;9.672e+14,numerical_tolerance
Convert 1.1692 m to cmi. There are 1609.3 m in one mi.,0.072651;0.00036325,numerical_tolerance
Convert 0.03412 Pa to cmmHg. There are 133.32 Pa in one mmHg.,0.025592;0.00012796,numerical_tolerance
Convert 0.2488 atm to mbar. There are 1.0132 bar in one atm.,252.1;1.2605,numerical_tolerance
Convert 0.0197 J to µcal. There are 4.184 J in one cal.,4708.4;23.542,numerical_tolerance
Convert 805.2 Gcal to nJ. There are 4.184 J in one cal.,3.369e+21;1.6845e+19,numerical_tolerance
Convert 296 cal to nJ. There are 4.184 J in one cal.,1.2385e+12;6.1923e+09,numerical_tolerance
Convert 2.08 min to ms. There are 60 s in one min.,1.248e+05;624,numerical_tolerance
Convert 0.427 g to µoz. There are 28.349 g in one oz.,15062;75.31,numerical_tolerance
Convert 19.59 day to µs. There are 8.64e4 s in one day.,1.6926e+12;8.4629e+09,numerical_tolerance
Convert 0.0203 m to nft. There are 3.2808 ft in one m.,6.6601e+07;3.3301e+05,numerical_tolerance
Convert 0.040523 Gmin to khr. There are 60 min in one hr.,675.38;3.3769,numerical_tolerance
Convert 0.008367 Gmi to nft. There are 5280 ft in one mi.,4.4178e+19;2.2089e+17,numerical_tolerance
Convert 72.529 psi to catm. There are 14.696 psi in one atm.,493.53;2.4677,numerical_tolerance
Convert 0.28485 L to cgal. There are 3.7854 L in one gal.,7.5249;0.037625,numerical_tolerance
Convert 0.04032 J to µcal. There are 4.184 J in one cal.,9636.7;48.184,numerical_tolerance
Convert 4.1300 cal to cJ. There are 4.184 J in one cal.,1728;8.64,numerical_tolerance
Convert 107.3 khr to µmin. There are 60 min in one hr.,6.438e+12;3.219e+10,numerical_tolerance
Convert 0.06693 Torr to mbar. There are 750.06 Torr in one bar.,0.089232;0.00044616,numerical_tolerance
Convert 56.10 min to cday. There are 1440 min in one day.,3.8958;0.019479,numerical_tolerance
Convert 0.03399 cmi to nft. There are 5280 ft in one mi.,1.7947e+09;8.9733e+06,numerical_tolerance
Convert 48.2 oz to µg. There are 28.349 g in one oz.,1.3664e+09;6.8322e+06,numerical_tolerance
Convert 143.59 mi to µft. There are 5280 ft in one mi.,7.5815e+11;3.7908e+09,numerical_tolerance
Convert 21.35 ft to nmi. There are 5280 ft in one mi.,4.0436e+06;20218,numerical_tolerance
Convert 0.92228 L to mgal. There are 3.7854 L in one gal.,243.64;1.2182,numerical_tolerance
Convert 12.230 mmHg to mTorr. There are 1 mmHg in one Torr.,12230;61.15,numerical_tolerance
Convert 0.00939 Mgal to ML. There are 3.7854 L in one gal.,0.035545;0.00017772,numerical_tolerance
Convert 0.21796 mmHg to mbar. There are 750.06 mmHg in one bar.,0.29059;0.0014529,numerical_tolerance
Convert 1.135 Ggal to kL. There are 3.7854 L in one gal.,4.2964e+06;21482,numerical_tolerance
Convert 882.06 L to ngal. There are 3.7854 L in one gal.,2.3302e+11;1.1651e+09,numerical_tolerance
Convert 2.444 gal to cL. There are 3.7854 L in one gal.,925.15;4.6258,numerical_tolerance
